"","x"
"1","BE85"
"2","BE86"
"3","BE87"
"4","BE88"
"5","BE90"
"6","BE93"
"7","LU34"
"8","UR01"
"9","UR02"
"10","UR03"
"11","UR04"
"12","SZ02"
"13","SZ03"
"14","SZ04"
"15","SZ05"
"16","SZ06"
"17","SZ07"
"18","SZ08"
"19","SZ09"
"20","OW05"
"21","NW02"
"22","NW03"
"23","NW04"
"24","GL05"
"25","SG24"
"26","SG25"
"27","GR01"
"28","GR02"
"29","GR03"
"30","GR04"
"31","GR05"
"32","GR06"
"33","GR07"
"34","GR08"
"35","GR09"
"36","GR10"
"37","GR11"
"38","GR12"
"39","GR13"
"40","GR14"
"41","GR15"
"42","GR16"
"43","GR17"
"44","GR19"
"45","GR20"
"46","GR22"
"47","GR23"
"48","GR25"
"49","GR26"
"50","TI01"
"51","TI02"
"52","TI04"
"53","TI06"
"54","TI07"
"55","TI08"
"56","TI09"
"57","TI10"
"58","TI11"
"59","TI12"
"60","TI13"
"61","TI14"
"62","TI15"
"63","TI16"
"64","TI17"
"65","TI18"
"66","TI19"
"67","TI20"
"68","TI21"
"69","TI22"
"70","TI23"
"71","TI24"
"72","TI25"
"73","TI26"
"74","TI27"
"75","TI28"
"76","TI29"
"77","TI30"
"78","TI31"
"79","TI32"
"80","TI33"
"81","TI34"
"82","VD41"
"83","VS01"
"84","VS02"
"85","VS03"
"86","VS04"
"87","VS05"
"88","VS06"
"89","VS08"
"90","VS09"
"91","VS10"
"92","VS11"
"93","VS12"
"94","VS13"
"95","VS14"
"96","VS15"
"97","VS16"
"98","VS17"
"99","VS18"
"100","VS19"
"101","VS20"
"102","VS21"
"103","VS22"
"104","VS23"
"105","FL00"
