"","X","date","all","a014y","a1564y","a6574y","a7584y","a85plusy","mal","fem","inf","ment","cvd","resp","uri","station","f_id","temp","dow"
"8033",8033,"1998-01-01",6,0,2,1,3,0,4,2,0,2,2,2,0,"Chur",87,8.3,"Thursday"
"8034",8034,"1998-01-02",6,1,2,1,0,2,3,3,1,1,4,0,0,"Chur",165,8.8,"Friday"
"8035",8035,"1998-01-03",6,4,1,0,1,0,3,3,2,1,0,2,1,"Chur",0,4.9,"Saturday"
"8036",8036,"1998-01-04",8,2,0,1,4,1,4,4,0,2,4,2,0,"Chur",1,4,"Sunday"
"8037",8037,"1998-01-05",9,2,6,0,0,1,6,3,0,1,6,2,0,"Chur",28,4.5,"Monday"
"8038",8038,"1998-01-06",9,1,7,0,1,0,4,5,1,1,2,4,1,"Chur",6,3.7,"Tuesday"
"8039",8039,"1998-01-07",7,0,5,0,2,0,3,4,2,0,3,0,2,"Chur",0,4.2,"Wednesday"
"8040",8040,"1998-01-08",8,0,7,1,0,0,8,0,2,1,2,2,1,"Chur",0,3,"Thursday"
"8041",8041,"1998-01-09",8,0,7,1,0,0,4,4,0,1,2,5,0,"Chur",0,2.5,"Friday"
"8042",8042,"1998-01-10",2,0,1,0,1,0,1,1,0,0,1,1,0,"Chur",0,4.6,"Saturday"
"8043",8043,"1998-01-11",6,3,3,0,0,0,5,1,2,0,1,2,1,"Chur",0,7.3,"Sunday"
"8044",8044,"1998-01-12",10,2,5,0,3,0,4,6,0,5,1,4,0,"Chur",33,9,"Monday"
"8045",8045,"1998-01-13",11,2,3,3,2,1,7,4,2,2,3,4,0,"Chur",204,9.8,"Tuesday"
"8046",8046,"1998-01-14",5,0,2,3,0,0,4,1,0,1,4,0,0,"Chur",29,7,"Wednesday"
"8047",8047,"1998-01-15",9,0,8,0,1,0,5,4,2,3,3,1,0,"Chur",2,5,"Thursday"
"8048",8048,"1998-01-16",1,0,1,0,0,0,1,0,0,1,0,0,0,"Chur",1,5.6,"Friday"
"8049",8049,"1998-01-17",6,0,3,0,0,3,4,2,0,0,1,4,1,"Chur",0,3.2,"Saturday"
"8050",8050,"1998-01-18",0,0,0,0,0,0,0,0,0,0,0,0,0,"Chur",154,3.8,"Sunday"
"8051",8051,"1998-01-19",9,0,2,0,6,1,1,8,0,2,4,0,3,"Chur",50,4.2,"Monday"
"8052",8052,"1998-01-20",7,0,4,0,1,2,1,6,0,2,2,2,1,"Chur",0,0.8,"Tuesday"
"8053",8053,"1998-01-21",2,1,0,0,1,0,2,0,0,0,0,1,1,"Chur",0,0.8,"Wednesday"
"8054",8054,"1998-01-22",4,0,3,0,1,0,0,4,0,0,0,3,1,"Chur",0,-1.8,"Thursday"
"8055",8055,"1998-01-23",2,0,2,0,0,0,0,2,0,2,0,0,0,"Chur",0,-4.2,"Friday"
"8056",8056,"1998-01-24",7,0,1,0,4,2,3,4,0,0,4,0,3,"Chur",0,-4,"Saturday"
"8057",8057,"1998-01-25",8,3,2,2,1,0,7,1,3,1,2,1,1,"Chur",0,-2.2,"Sunday"
"8058",8058,"1998-01-26",5,2,2,0,1,0,1,4,1,1,0,2,1,"Chur",0,-2.3,"Monday"
"8059",8059,"1998-01-27",13,2,5,3,0,3,10,3,2,1,7,2,1,"Chur",0,-5.3,"Tuesday"
