"","date","all","a014y","a1564y","a6574y","a7584y","a85plusy","mal","fem","inf","ment","cvd","resp","uri","station","f_id","temp","dow"
"1",1998-01-01,2,0,1,1,0,0,1,1,0,1,1,0,0,"Davos",36,0.3,"Thursday"
"2",1998-01-02,1,0,0,0,1,0,1,0,0,0,1,0,0,"Davos",124,2,"Friday"
"3",1998-01-03,1,1,0,0,0,0,0,1,1,0,0,0,0,"Davos",0,-2,"Saturday"
"4",1998-01-04,1,0,1,0,0,0,0,1,0,0,0,1,0,"Davos",0,-3.4,"Sunday"
"5",1998-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",2,-3.1,"Monday"
"6",1998-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",12,-1.9,"Tuesday"
"7",1998-01-07,2,0,0,2,0,0,2,0,0,0,0,0,2,"Davos",0,-1.2,"Wednesday"
"8",1998-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",0,-4.4,"Thursday"
"9",1998-01-09,2,0,0,0,2,0,0,2,0,0,2,0,0,"Davos",0,-4,"Friday"
"10",1998-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",0,-1.6,"Saturday"
"11",1998-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",0,0.6,"Sunday"
"12",1998-01-12,1,0,0,0,1,0,1,0,0,0,0,1,0,"Davos",0,1.7,"Monday"
"13",1998-01-13,2,0,1,0,1,0,1,1,0,0,1,0,1,"Davos",75,0.6,"Tuesday"
"14",1998-01-14,2,0,0,2,0,0,2,0,0,0,2,0,0,"Davos",0,0.8,"Wednesday"
"15",1998-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",0,-1.3,"Thursday"
"16",1998-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",0,-1.3,"Friday"
"17",1998-01-17,1,1,0,0,0,0,0,1,0,0,0,1,0,"Davos",0,-4.6,"Saturday"
"18",1998-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",109,-4.5,"Sunday"
"19",1998-01-19,1,0,0,1,0,0,1,0,0,0,1,0,0,"Davos",42,-2.1,"Monday"
"20",1998-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",0,-6.3,"Tuesday"
"21",1998-01-21,2,0,0,0,1,1,1,1,0,0,0,2,0,"Davos",0,-6.8,"Wednesday"
"22",1998-01-22,2,0,2,0,0,0,2,0,0,0,2,0,0,"Davos",0,-10.6,"Thursday"
"23",1998-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",0,-8.6,"Friday"
"24",1998-01-24,1,0,1,0,0,0,1,0,0,0,0,0,1,"Davos",0,-8.1,"Saturday"
"25",1998-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",0,-7.9,"Sunday"
"26",1998-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",0,-9.4,"Monday"
"27",1998-01-27,1,0,0,0,1,0,1,0,0,0,0,1,0,"Davos",0,-9.1,"Tuesday"
"28",1998-01-28,1,0,0,0,0,1,0,1,0,0,1,0,0,"Davos",0,-8.9,"Wednesday"
"29",1998-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",0,-8.3,"Thursday"
"30",1998-01-30,1,0,1,0,0,0,1,0,0,0,0,1,0,"Davos",0,-7.5,"Friday"
"31",1998-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",0,-8.9,"Saturday"
"32",1998-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",0,-8.3,"Sunday"
"33",1998-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",0,-8,"Monday"
"34",1998-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",0,-8.7,"Tuesday"
"35",1998-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",7,-5.9,"Wednesday"
"36",1998-02-05,1,1,0,0,0,0,1,0,0,0,0,1,0,"Davos",0,-5.9,"Thursday"
"37",1998-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",0,-4.9,"Friday"
"38",1998-02-07,2,2,0,0,0,0,0,2,2,0,0,0,0,"Davos",0,-2.9,"Saturday"
"39",1998-02-08,1,0,0,1,0,0,1,0,0,0,1,0,0,"Davos",0,-5.3,"Sunday"
"40",1998-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",0,-2.3,"Monday"
"41",1998-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",0,0.9,"Tuesday"
"42",1998-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",0,1.6,"Wednesday"
"43",1998-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",0,2.4,"Thursday"
"44",1998-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",0,2.6,"Friday"
"45",1998-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",0,2.7,"Saturday"
"46",1998-02-15,1,0,0,1,0,0,1,0,0,0,0,0,1,"Davos",0,2.1,"Sunday"
"47",1998-02-16,1,0,0,0,1,0,1,0,0,0,1,0,0,"Davos",0,4,"Monday"
"48",1998-02-17,1,0,0,1,0,0,0,1,0,0,0,1,0,"Davos",0,-0.4,"Tuesday"
"49",1998-02-18,1,0,1,0,0,0,0,1,0,1,0,0,0,"Davos",0,0.5,"Wednesday"
"50",1998-02-19,2,0,2,0,0,0,1,1,0,2,0,0,0,"Davos",0,2.2,"Thursday"
"51",1998-02-20,1,0,1,0,0,0,1,0,0,0,0,1,0,"Davos",42,2.8,"Friday"
"52",1998-02-21,1,0,0,0,0,1,0,1,0,0,0,1,0,"Davos",81,3.7,"Saturday"
"53",1998-02-22,1,0,1,0,0,0,1,0,0,0,1,0,0,"Davos",27,1.1,"Sunday"
"54",1998-02-23,1,0,1,0,0,0,0,1,0,0,0,1,0,"Davos",0,-1.6,"Monday"
"55",1998-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davos",0,-0.6,"Tuesday"
"56",1998-02-25,1,0,1,0,0,0,0,1,1,0,0,0,0,"Davos",0,0.8,"Wednesday"
