"","date","all","a014y","a1564y","a6574y","a7584y","a85plusy","mal","fem","inf","ment","cvd","resp","uri","station","f_id","temp","dow"
"1",2005-12-01,1,0,1,0,0,0,1,0,0,1,0,0,0,"Lugano",NA,2.4,"Thursday"
"2",2005-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,2.4,"Friday"
"3",2005-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,1.8,"Saturday"
"4",2005-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,3,"Sunday"
"5",2005-12-05,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,4,"Monday"
"6",2005-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,4.9,"Tuesday"
"7",2005-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,3.6,"Wednesday"
"8",2005-12-08,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,2.5,"Thursday"
"9",2005-12-09,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,2.2,"Friday"
"10",2005-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,2.1,"Saturday"
"11",2005-12-11,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,2.8,"Sunday"
"12",2005-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,3.2,"Monday"
"13",2005-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,4.2,"Tuesday"
"14",2005-12-14,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,3.5,"Wednesday"
"15",2005-12-15,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,3.3,"Thursday"
"16",2005-12-16,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,5,"Friday"
"17",2005-12-17,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,7.2,"Saturday"
"18",2005-12-18,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,3.4,"Sunday"
"19",2005-12-19,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,0.8,"Monday"
"20",2005-12-20,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,1.1,"Tuesday"
"21",2005-12-21,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,1.2,"Wednesday"
"22",2005-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,1.5,"Thursday"
"23",2005-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,1.6,"Friday"
"24",2005-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,1.9,"Saturday"
"25",2005-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,3.7,"Sunday"
"26",2005-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,2,"Monday"
"27",2005-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,1.1,"Tuesday"
"28",2005-12-28,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,0.5,"Wednesday"
"29",2005-12-29,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,-0.2,"Thursday"
"30",2005-12-30,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,-2.4,"Friday"
"31",2005-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,0.4,"Saturday"
"32",2006-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,0.6,"Sunday"
"33",2006-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,3.4,"Monday"
"34",2006-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,6.6,"Tuesday"
"35",2006-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,2.1,"Wednesday"
"36",2006-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,2.5,"Thursday"
"37",2006-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,3,"Friday"
"38",2006-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,1.8,"Saturday"
"39",2006-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,3.4,"Sunday"
"40",2006-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,2.9,"Monday"
"41",2006-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,0.8,"Tuesday"
"42",2006-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,1.4,"Wednesday"
"43",2006-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,1.5,"Thursday"
"44",2006-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,0.7,"Friday"
"45",2006-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,0.8,"Saturday"
"46",2006-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,0.5,"Sunday"
"47",2006-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,-0.1,"Monday"
"48",2006-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,0.5,"Tuesday"
"49",2006-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,2.7,"Wednesday"
"50",2006-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,3.6,"Thursday"
"51",2006-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,2.8,"Friday"
"52",2006-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,2.7,"Saturday"
"53",2006-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,8.1,"Sunday"
"54",2006-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,3.1,"Monday"
"55",2006-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,0.5,"Tuesday"
"56",2006-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,-1,"Wednesday"
"57",2006-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,-2,"Thursday"
"58",2006-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,-0.2,"Friday"
"59",2006-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,2.1,"Saturday"
"60",2006-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,3.6,"Sunday"
"61",2006-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,4.4,"Monday"
"62",2006-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,3.9,"Tuesday"
"63",2006-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,4,"Wednesday"
"64",2006-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,4,"Thursday"
"65",2006-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,3.6,"Friday"
"66",2006-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,3.4,"Saturday"
"67",2006-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,2.2,"Sunday"
"68",2006-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,0.5,"Monday"
"69",2006-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,0.5,"Tuesday"
"70",2006-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,1.2,"Wednesday"
"71",2006-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,4.3,"Thursday"
"72",2006-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,5.8,"Friday"
"73",2006-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,3.9,"Saturday"
"74",2006-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,2.1,"Sunday"
"75",2006-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,2.1,"Monday"
"76",2006-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,2.6,"Tuesday"
"77",2006-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,3.4,"Wednesday"
"78",2006-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,4.4,"Thursday"
"79",2006-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,5.7,"Friday"
"80",2006-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,3.9,"Saturday"
"81",2006-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,2.5,"Sunday"
"82",2006-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,4,"Monday"
"83",2006-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,4.9,"Tuesday"
"84",2006-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,5.1,"Wednesday"
"85",2006-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,5.5,"Thursday"
"86",2006-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,4.2,"Friday"
"87",2006-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,4.1,"Saturday"
"88",2006-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,5.8,"Sunday"
"89",2006-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,4.5,"Monday"
"90",2006-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,3.1,"Tuesday"
"91",2006-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,2.5,"Wednesday"
"92",2006-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,2.6,"Thursday"
"93",2006-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,4.4,"Friday"
"94",2006-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,5.7,"Saturday"
"95",2006-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,7.5,"Sunday"
"96",2006-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,5.9,"Monday"
"97",2006-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,4.7,"Tuesday"
"98",2006-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,4,"Wednesday"
"99",2006-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,6.6,"Thursday"
"100",2006-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,8.2,"Friday"
"101",2006-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,7.4,"Saturday"
"102",2006-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,3.1,"Sunday"
"103",2006-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,5.2,"Monday"
"104",2006-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,5.5,"Tuesday"
"105",2006-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,5.2,"Wednesday"
"106",2006-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,6.1,"Thursday"
"107",2006-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,7.7,"Friday"
"108",2006-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lugano",NA,6.3,"Saturday"
