"","date","all","a014y","a1564y","a6574y","a7584y","a85plusy","mal","fem","inf","ment","cvd","resp","uri","station","f_id","temp","dow"
"1",1998-01-01,3,0,1,1,1,0,1,2,0,0,2,1,0,"Magadino",NA,2.7,"Thursday"
"2",1998-01-02,4,0,1,0,2,1,2,2,1,0,2,1,0,"Magadino",NA,3.8,"Friday"
"3",1998-01-03,4,0,0,1,3,0,2,2,0,0,4,0,0,"Magadino",NA,2.4,"Saturday"
"4",1998-01-04,3,1,0,0,1,1,0,3,1,0,0,2,0,"Magadino",NA,2.6,"Sunday"
"5",1998-01-05,5,0,1,1,2,1,4,1,1,0,4,0,0,"Magadino",NA,1.8,"Monday"
"6",1998-01-06,2,0,0,1,1,0,1,1,0,0,0,2,0,"Magadino",NA,3.5,"Tuesday"
"7",1998-01-07,12,1,3,2,3,3,8,4,2,1,4,4,1,"Magadino",NA,1.9,"Wednesday"
"8",1998-01-08,4,0,0,3,1,0,3,1,1,0,2,1,0,"Magadino",NA,1.2,"Thursday"
"9",1998-01-09,3,0,1,1,1,0,1,2,0,0,2,0,1,"Magadino",NA,0.4,"Friday"
"10",1998-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,"Magadino",NA,-0.1,"Saturday"
"11",1998-01-11,5,0,3,0,2,0,3,2,0,0,2,3,0,"Magadino",NA,0.2,"Sunday"
"12",1998-01-12,2,0,1,0,1,0,2,0,0,0,2,0,0,"Magadino",NA,1,"Monday"
"13",1998-01-13,2,0,1,0,0,1,1,1,0,1,1,0,0,"Magadino",NA,1.9,"Tuesday"
"14",1998-01-14,3,0,2,1,0,0,2,1,0,0,3,0,0,"Magadino",NA,3.3,"Wednesday"
"15",1998-01-15,4,0,1,1,1,1,2,2,1,1,1,1,0,"Magadino",NA,5.1,"Thursday"
"16",1998-01-16,3,0,1,1,1,0,1,2,0,1,0,1,1,"Magadino",NA,5.4,"Friday"
"17",1998-01-17,3,0,0,1,1,1,3,0,0,0,2,1,0,"Magadino",NA,6.9,"Saturday"
"18",1998-01-18,3,0,0,1,1,1,2,1,0,0,1,2,0,"Magadino",NA,1.2,"Sunday"
"19",1998-01-19,3,0,2,0,1,0,2,1,0,0,2,0,1,"Magadino",NA,1.9,"Monday"
"20",1998-01-20,2,0,0,0,1,1,0,2,0,0,2,0,0,"Magadino",NA,4.5,"Tuesday"
"21",1998-01-21,8,0,0,3,4,1,4,4,1,1,5,1,0,"Magadino",NA,7.6,"Wednesday"
"22",1998-01-22,2,0,0,1,1,0,2,0,0,0,1,0,1,"Magadino",NA,3.8,"Thursday"
"23",1998-01-23,4,0,0,1,3,0,1,3,0,0,3,0,1,"Magadino",NA,0.6,"Friday"
"24",1998-01-24,1,0,1,0,0,0,0,1,0,0,0,0,1,"Magadino",NA,0.7,"Saturday"
"25",1998-01-25,1,0,1,0,0,0,1,0,0,0,1,0,0,"Magadino",NA,2.7,"Sunday"
"26",1998-01-26,5,1,1,0,2,1,1,4,1,0,4,0,0,"Magadino",NA,1.5,"Monday"
"27",1998-01-27,3,1,0,1,1,0,2,1,0,0,1,2,0,"Magadino",NA,-0.2,"Tuesday"
"28",1998-01-28,4,0,4,0,0,0,2,2,1,0,2,1,0,"Magadino",NA,-1.4,"Wednesday"
"29",1998-01-29,6,0,0,2,2,2,1,5,0,0,3,2,1,"Magadino",NA,-0.9,"Thursday"
"30",1998-01-30,4,0,2,1,1,0,3,1,0,0,2,2,0,"Magadino",NA,-0.9,"Friday"
"31",1998-01-31,3,0,1,1,0,1,2,1,0,0,3,0,0,"Magadino",NA,-1.2,"Saturday"
"32",1998-02-01,3,0,1,0,0,2,2,1,0,0,0,2,1,"Magadino",NA,0.2,"Sunday"
"33",1998-02-02,1,0,0,0,1,0,0,1,0,0,1,0,0,"Magadino",NA,0.5,"Monday"
