"","date","all","a014y","a1564y","a6574y","a7584y","a85plusy","mal","fem","inf","ment","cvd","resp","uri","station","f_id","temp","dow"
"1",1998-01-07,1,0,1,0,0,0,0,1,1,0,0,0,0,"Montana",0,1.2,"Wednesday"
"2",1998-01-08,1,0,0,1,0,0,1,0,0,0,0,1,0,"Montana",0,1.8,"Thursday"
"3",1998-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,2.1,"Friday"
"4",1998-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,4,"Saturday"
"5",1998-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,6.4,"Sunday"
"6",1998-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",38,7.2,"Monday"
"7",1998-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",150,3.7,"Tuesday"
"8",1998-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,1.1,"Wednesday"
"9",1998-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,-1.1,"Thursday"
"10",1998-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,-0.5,"Friday"
"11",1998-01-17,1,0,0,0,1,0,1,0,0,0,0,0,1,"Montana",0,-2.7,"Saturday"
"12",1998-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",54,-2.6,"Sunday"
"13",1998-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,-2.3,"Monday"
"14",1998-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,-6,"Tuesday"
"15",1998-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,-4.9,"Wednesday"
"16",1998-01-22,1,0,0,0,1,0,1,0,0,0,1,0,0,"Montana",0,-8.1,"Thursday"
"17",1998-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,-5,"Friday"
"18",1998-01-24,1,0,1,0,0,0,1,0,0,0,1,0,0,"Montana",0,-6.3,"Saturday"
"19",1998-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,-4.7,"Sunday"
"20",1998-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,-5.3,"Monday"
"21",1998-01-27,1,0,0,0,0,1,0,1,0,0,0,0,1,"Montana",0,-4.7,"Tuesday"
"22",1998-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,-4.6,"Wednesday"
"23",1998-01-29,1,0,1,0,0,0,0,1,0,1,0,0,0,"Montana",0,-4.3,"Thursday"
"24",1998-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,-3.5,"Friday"
"25",1998-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,-4.6,"Saturday"
"26",1998-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,-3.5,"Sunday"
"27",1998-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,-3.9,"Monday"
"28",1998-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,-3.6,"Tuesday"
"29",1998-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",3,-1.1,"Wednesday"
"30",1998-02-05,1,0,0,0,1,0,0,1,0,0,0,1,0,"Montana",0,-1.9,"Thursday"
"31",1998-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,-1,"Friday"
"32",1998-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,0.4,"Saturday"
"33",1998-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,-1.3,"Sunday"
"34",1998-02-09,1,1,0,0,0,0,1,0,0,0,0,1,0,"Montana",0,1.9,"Monday"
"35",1998-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,4.4,"Tuesday"
"36",1998-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,4.9,"Wednesday"
"37",1998-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,5.4,"Thursday"
"38",1998-02-13,1,0,1,0,0,0,1,0,1,0,0,0,0,"Montana",0,5.6,"Friday"
"39",1998-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,6,"Saturday"
"40",1998-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,5.3,"Sunday"
"41",1998-02-16,1,1,0,0,0,0,1,0,0,0,0,1,0,"Montana",0,7.6,"Monday"
"42",1998-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,3.6,"Tuesday"
"43",1998-02-18,2,0,2,0,0,0,1,1,0,1,0,0,1,"Montana",0,4.9,"Wednesday"
"44",1998-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,6.9,"Thursday"
"45",1998-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",50,7,"Friday"
"46",1998-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",162,7,"Saturday"
"47",1998-02-22,1,1,0,0,0,0,0,1,1,0,0,0,0,"Montana",0,1.2,"Sunday"
"48",1998-02-23,1,0,1,0,0,0,1,0,0,0,1,0,0,"Montana",0,-2,"Monday"
"49",1998-02-24,2,0,0,1,1,0,0,2,0,0,1,1,0,"Montana",0,-0.4,"Tuesday"
"50",1998-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,2.4,"Wednesday"
"51",1998-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,4.8,"Thursday"
"52",1998-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,5.3,"Friday"
"53",1998-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,3.6,"Saturday"
"54",1998-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,0.3,"Sunday"
"55",1998-03-02,1,0,0,0,1,0,0,1,0,0,0,1,0,"Montana",3,-0.5,"Monday"
"56",1998-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,4.1,"Tuesday"
"57",1998-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,8.4,"Wednesday"
"58",1998-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,2,"Thursday"
"59",1998-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,3.7,"Friday"
"60",1998-03-07,1,1,0,0,0,0,0,1,0,0,0,1,0,"Montana",0,5.9,"Saturday"
"61",1998-03-08,1,0,0,0,0,1,1,0,0,0,0,1,0,"Montana",0,0,"Sunday"
"62",1998-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,-3,"Monday"
"63",1998-03-10,1,0,0,0,1,0,1,0,0,0,0,1,0,"Montana",0,-6.3,"Tuesday"
"64",1998-03-11,1,0,1,0,0,0,0,1,0,0,1,0,0,"Montana",71,-3.4,"Wednesday"
"65",1998-03-12,1,0,0,0,1,0,1,0,0,0,1,0,0,"Montana",0,-3.2,"Thursday"
"66",1998-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,-2.9,"Friday"
"67",1998-03-14,1,0,1,0,0,0,0,1,0,0,0,0,1,"Montana",0,-1.8,"Saturday"
"68",1998-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,0.8,"Sunday"
"69",1998-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,2.6,"Monday"
"70",1998-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,4.2,"Tuesday"
"71",1998-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,4.5,"Wednesday"
"72",1998-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,3.5,"Thursday"
"73",1998-03-20,1,0,1,0,0,0,1,0,1,0,0,0,0,"Montana",0,1,"Friday"
"74",1998-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,0.8,"Saturday"
"75",1998-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,-0.3,"Sunday"
"76",1998-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,-1.4,"Monday"
"77",1998-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,-3.4,"Tuesday"
"78",1998-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,-2.2,"Wednesday"
"79",1998-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,1.6,"Thursday"
"80",1998-03-27,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",0,3.9,"Friday"
"81",1998-03-28,3,0,0,2,1,0,1,2,0,0,3,0,0,"Montana",26,7.8,"Saturday"
"82",1998-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",94,9.8,"Sunday"
"83",1998-03-30,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",8,9.4,"Monday"
"84",1998-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",109,9.3,"Tuesday"
"85",1998-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",5,7,"Wednesday"
"86",1998-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",15,5.7,"Thursday"
"87",1998-04-03,1,0,0,1,0,0,1,0,0,0,0,1,0,"Montana",116,7.6,"Friday"
"88",1998-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",42,3.9,"Saturday"
"89",1998-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",34,4.6,"Sunday"
"90",1998-04-06,2,1,0,0,0,1,2,0,1,0,0,1,0,"Montana",2,4.7,"Monday"
"91",1998-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montana",10,2.5,"Tuesday"
"92",1998-04-08,2,1,1,0,0,0,1,1,0,0,1,1,0,"Montana",0,2.2,"Wednesday"
