"","date","all","a014y","a1564y","a6574y","a7584y","a85plusy","mal","fem","inf","ment","cvd","resp","uri","station","f_id","temp","dow"
"1",2007-12-26,1,0,1,0,0,0,1,0,0,0,1,0,0,"Poschiavo",NA,-1.8,"Wednesday"
"2",2007-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poschiavo",NA,-3.7,"Thursday"
"3",2007-12-28,1,0,1,0,0,0,1,0,0,1,0,0,0,"Poschiavo",NA,-3.9,"Friday"
"4",2007-12-29,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poschiavo",NA,-3.9,"Saturday"
"5",2007-12-30,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poschiavo",NA,0.9,"Sunday"
"6",2007-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poschiavo",NA,-0.4,"Monday"
"7",2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poschiavo",NA,-6.6,"Tuesday"
"8",2008-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poschiavo",NA,-4.4,"Wednesday"
"9",2008-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poschiavo",NA,-4.6,"Thursday"
"10",2008-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poschiavo",NA,-2.5,"Friday"
"11",2008-01-05,1,0,0,1,0,0,1,0,0,0,1,0,0,"Poschiavo",NA,-0.5,"Saturday"
"12",2008-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poschiavo",NA,-0.7,"Sunday"
"13",2008-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poschiavo",NA,0.2,"Monday"
"14",2008-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poschiavo",NA,-5.5,"Tuesday"
"15",2008-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poschiavo",NA,-4.2,"Wednesday"
"16",2008-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poschiavo",NA,-5.9,"Thursday"
"17",2008-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poschiavo",NA,-0.5,"Friday"
"18",2008-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poschiavo",NA,1.6,"Saturday"
"19",2008-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poschiavo",NA,-0.2,"Sunday"
"20",2008-01-14,1,0,0,0,0,1,1,0,0,0,0,1,0,"Poschiavo",NA,0.4,"Monday"
"21",2008-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poschiavo",NA,0.3,"Tuesday"
"22",2008-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poschiavo",NA,0.2,"Wednesday"
"23",2008-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poschiavo",NA,-0.4,"Thursday"
"24",2008-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poschiavo",NA,-0.5,"Friday"
"25",2008-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poschiavo",NA,-0.5,"Saturday"
