"","date","all","a014y","a1564y","a6574y","a7584y","a85plusy","mal","fem","inf","ment","cvd","resp","uri","station","f_id","temp","dow"
"1",2007-11-30,1,0,1,0,0,0,0,1,0,1,0,0,0,"Visp",0,0.7,"Friday"
"2",2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,2.6,"Saturday"
"3",2007-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,5.3,"Sunday"
"4",2007-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,3,"Monday"
"5",2007-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,4.6,"Tuesday"
"6",2007-12-05,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,2.3,"Wednesday"
"7",2007-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,4.7,"Thursday"
"8",2007-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,5.6,"Friday"
"9",2007-12-08,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,3.7,"Saturday"
"10",2007-12-09,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,1,"Sunday"
"11",2007-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,1.3,"Monday"
"12",2007-12-11,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,2.2,"Tuesday"
"13",2007-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,-0.9,"Wednesday"
"14",2007-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,-3.8,"Thursday"
"15",2007-12-14,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,-4.9,"Friday"
"16",2007-12-15,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,-4.9,"Saturday"
"17",2007-12-16,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,-7.8,"Sunday"
"18",2007-12-17,1,0,0,0,1,0,0,1,0,0,0,1,0,"Visp",48,-3.7,"Monday"
"19",2007-12-18,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,-6.3,"Tuesday"
"20",2007-12-19,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,-7.2,"Wednesday"
"21",2007-12-20,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,-5.4,"Thursday"
"22",2007-12-21,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,-5.6,"Friday"
"23",2007-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,-2.3,"Saturday"
"24",2007-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,-2.4,"Sunday"
"25",2007-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,-5.4,"Monday"
"26",2007-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,-6.3,"Tuesday"
"27",2007-12-26,1,0,0,0,1,0,1,0,0,0,1,0,0,"Visp",0,-3.4,"Wednesday"
"28",2007-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,-6.4,"Thursday"
"29",2007-12-28,1,0,0,0,0,1,0,1,0,0,0,1,0,"Visp",0,-6.9,"Friday"
"30",2007-12-29,2,0,0,0,1,1,1,1,0,0,0,1,1,"Visp",0,-5.2,"Saturday"
"31",2007-12-30,2,0,1,0,1,0,0,2,0,0,1,1,0,"Visp",0,0,"Sunday"
"32",2007-12-31,1,0,0,0,0,1,1,0,0,0,0,1,0,"Visp",0,-6,"Monday"
"33",2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,-8,"Tuesday"
"34",2008-01-02,2,1,0,0,1,0,1,1,0,0,0,1,1,"Visp",61,-5.4,"Wednesday"
"35",2008-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",255,2.7,"Thursday"
"36",2008-01-04,1,0,1,0,0,0,1,0,0,1,0,0,0,"Visp",270,6.3,"Friday"
"37",2008-01-05,3,1,2,0,0,0,2,1,1,0,0,2,0,"Visp",143,6.6,"Saturday"
"38",2008-01-06,1,0,0,0,1,0,0,1,0,0,0,1,0,"Visp",0,1.5,"Sunday"
"39",2008-01-07,1,0,0,0,1,0,1,0,0,0,1,0,0,"Visp",0,3.1,"Monday"
"40",2008-01-08,2,0,1,1,0,0,2,0,0,1,1,0,0,"Visp",0,-0.2,"Tuesday"
"41",2008-01-09,4,0,1,1,1,1,2,2,0,0,1,3,0,"Visp",0,1,"Wednesday"
"42",2008-01-10,2,0,1,0,1,0,1,1,0,1,1,0,0,"Visp",0,0.3,"Thursday"
"43",2008-01-11,1,0,1,0,0,0,0,1,0,0,0,0,1,"Visp",36,6.3,"Friday"
"44",2008-01-12,1,0,0,0,1,0,0,1,0,0,1,0,0,"Visp",0,2.2,"Saturday"
"45",2008-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,"Visp",0,0.5,"Sunday"
