"","date","all","a014y","a1564y","a6574y","a7584y","a85plusy","mal","fem","inf","ment","cvd","resp","uri","station","f_id","temp","dow"
"1",1998-01-04,1,0,1,0,0,0,1,0,0,0,0,0,1,"Altdorf",36,6.6,"Sunday"
"2",1998-01-05,1,0,0,1,0,0,0,1,0,0,1,0,0,"Altdorf",58,6.6,"Monday"
"3",1998-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",13,5.7,"Tuesday"
"4",1998-01-07,1,0,1,0,0,0,0,1,0,1,0,0,0,"Altdorf",0,6.6,"Wednesday"
"5",1998-01-08,1,0,1,0,0,0,0,1,0,1,0,0,0,"Altdorf",0,5,"Thursday"
"6",1998-01-09,3,0,1,0,2,0,0,3,0,1,2,0,0,"Altdorf",0,3.3,"Friday"
"7",1998-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,0.9,"Saturday"
"8",1998-01-11,1,0,1,0,0,0,1,0,0,1,0,0,0,"Altdorf",0,0.6,"Sunday"
"9",1998-01-12,1,0,1,0,0,0,1,0,0,0,0,1,0,"Altdorf",0,2.3,"Monday"
"10",1998-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",216,11.1,"Tuesday"
"11",1998-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",16,6,"Wednesday"
"12",1998-01-15,1,0,1,0,0,0,1,0,0,1,0,0,0,"Altdorf",0,4.8,"Thursday"
"13",1998-01-16,1,0,1,0,0,0,1,0,0,1,0,0,0,"Altdorf",0,4.2,"Friday"
"14",1998-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,3.6,"Saturday"
"15",1998-01-18,1,0,1,0,0,0,1,0,0,0,1,0,0,"Altdorf",148,4.2,"Sunday"
"16",1998-01-19,1,0,0,1,0,0,0,1,0,0,1,0,0,"Altdorf",58,5.7,"Monday"
"17",1998-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,1.2,"Tuesday"
"18",1998-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,1.7,"Wednesday"
"19",1998-01-22,1,0,0,0,1,0,0,1,0,0,1,0,0,"Altdorf",0,-1.2,"Thursday"
"20",1998-01-23,1,0,1,0,0,0,0,1,0,1,0,0,0,"Altdorf",0,-2.7,"Friday"
"21",1998-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,-1.6,"Saturday"
"22",1998-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,-0.7,"Sunday"
"23",1998-01-26,1,0,0,0,1,0,0,1,0,0,1,0,0,"Altdorf",0,-1.2,"Monday"
"24",1998-01-27,3,1,1,0,0,1,2,1,1,1,0,1,0,"Altdorf",0,-3.3,"Tuesday"
"25",1998-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,-3.2,"Wednesday"
"26",1998-01-29,1,0,1,0,0,0,1,0,0,0,0,0,1,"Altdorf",0,-2.4,"Thursday"
"27",1998-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,-2.5,"Friday"
"28",1998-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,-2,"Saturday"
"29",1998-02-01,1,0,0,1,0,0,1,0,0,0,1,0,0,"Altdorf",0,-2.3,"Sunday"
"30",1998-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,-2.3,"Monday"
"31",1998-02-03,1,1,0,0,0,0,0,1,1,0,0,0,0,"Altdorf",0,-0.6,"Tuesday"
"32",1998-02-04,2,0,1,1,0,0,2,0,0,0,1,0,1,"Altdorf",0,-1.2,"Wednesday"
"33",1998-02-05,1,0,0,0,1,0,1,0,1,0,0,0,0,"Altdorf",0,-1.7,"Thursday"
"34",1998-02-06,1,0,1,0,0,0,1,0,0,0,0,0,1,"Altdorf",0,-1.7,"Friday"
"35",1998-02-07,1,0,1,0,0,0,0,1,0,0,0,0,1,"Altdorf",0,-0.4,"Saturday"
"36",1998-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,1.5,"Sunday"
"37",1998-02-09,1,0,0,1,0,0,1,0,0,0,1,0,0,"Altdorf",0,0.5,"Monday"
"38",1998-02-10,1,0,0,1,0,0,0,1,0,0,0,1,0,"Altdorf",0,2.3,"Tuesday"
"39",1998-02-11,1,0,0,1,0,0,1,0,0,0,1,0,0,"Altdorf",0,3.7,"Wednesday"
"40",1998-02-12,2,0,0,0,2,0,1,1,0,1,0,1,0,"Altdorf",0,3.7,"Thursday"
"41",1998-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,4.2,"Friday"
"42",1998-02-14,1,1,0,0,0,0,1,0,1,0,0,0,0,"Altdorf",0,4.2,"Saturday"
"43",1998-02-15,1,0,1,0,0,0,1,0,0,1,0,0,0,"Altdorf",0,5.1,"Sunday"
"44",1998-02-16,1,0,1,0,0,0,1,0,0,0,0,0,1,"Altdorf",0,6.5,"Monday"
"45",1998-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,7.2,"Tuesday"
"46",1998-02-18,3,0,2,1,0,0,1,2,0,0,0,2,1,"Altdorf",0,2.4,"Wednesday"
"47",1998-02-19,1,0,1,0,0,0,1,0,0,1,0,0,0,"Altdorf",0,4.4,"Thursday"
"48",1998-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",3,5.7,"Friday"
"49",1998-02-21,1,0,0,0,0,1,0,1,0,0,0,1,0,"Altdorf",161,13.3,"Saturday"
"50",1998-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",44,8.5,"Sunday"
"51",1998-02-23,1,0,0,0,1,0,1,0,0,0,1,0,0,"Altdorf",0,4,"Monday"
"52",1998-02-24,1,0,1,0,0,0,1,0,1,0,0,0,0,"Altdorf",0,5.3,"Tuesday"
"53",1998-02-25,2,0,0,0,2,0,2,0,0,0,2,0,0,"Altdorf",0,6.3,"Wednesday"
"54",1998-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,6.1,"Thursday"
"55",1998-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,5.6,"Friday"
"56",1998-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,5.9,"Saturday"
"57",1998-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,4.1,"Sunday"
"58",1998-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,4.7,"Monday"
"59",1998-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,5.4,"Tuesday"
"60",1998-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",137,12.6,"Wednesday"
"61",1998-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",48,10.4,"Thursday"
"62",1998-03-06,1,0,0,0,0,1,0,1,0,0,1,0,0,"Altdorf",0,5.4,"Friday"
"63",1998-03-07,2,0,0,0,1,1,1,1,0,0,0,2,0,"Altdorf",0,9.5,"Saturday"
"64",1998-03-08,1,0,1,0,0,0,0,1,0,0,0,1,0,"Altdorf",0,6.7,"Sunday"
"65",1998-03-09,1,0,0,1,0,0,0,1,0,0,0,0,1,"Altdorf",0,2,"Monday"
"66",1998-03-10,2,0,0,0,2,0,1,1,0,0,2,0,0,"Altdorf",0,-0.1,"Tuesday"
"67",1998-03-11,2,0,0,1,1,0,1,1,0,0,1,1,0,"Altdorf",0,2.3,"Wednesday"
"68",1998-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,2.6,"Thursday"
"69",1998-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,2.8,"Friday"
"70",1998-03-14,2,0,1,0,1,0,0,2,0,0,2,0,0,"Altdorf",0,3.3,"Saturday"
"71",1998-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,5,"Sunday"
"72",1998-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,6.1,"Monday"
"73",1998-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,7.5,"Tuesday"
"74",1998-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,8.3,"Wednesday"
"75",1998-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,5.7,"Thursday"
"76",1998-03-20,1,1,0,0,0,0,1,0,1,0,0,0,0,"Altdorf",0,5.1,"Friday"
"77",1998-03-21,3,0,1,0,1,1,1,2,0,1,2,0,0,"Altdorf",0,4.3,"Saturday"
"78",1998-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,3.6,"Sunday"
"79",1998-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,2.1,"Monday"
"80",1998-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,1.6,"Tuesday"
"81",1998-03-25,4,0,0,0,1,3,2,2,0,0,0,4,0,"Altdorf",0,1.2,"Wednesday"
"82",1998-03-26,1,1,0,0,0,0,1,0,1,0,0,0,0,"Altdorf",0,3.3,"Thursday"
"83",1998-03-27,2,1,1,0,0,0,0,2,1,1,0,0,0,"Altdorf",0,6.9,"Friday"
"84",1998-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,9.7,"Saturday"
"85",1998-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",1,11.6,"Sunday"
"86",1998-03-30,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",1,13.4,"Monday"
"87",1998-03-31,1,0,1,0,0,0,0,1,0,0,0,0,1,"Altdorf",4,12.6,"Tuesday"
"88",1998-04-01,2,1,0,1,0,0,2,0,0,0,1,1,0,"Altdorf",0,12.4,"Wednesday"
"89",1998-04-02,1,0,1,0,0,0,0,1,1,0,0,0,0,"Altdorf",0,11.6,"Thursday"
"90",1998-04-03,3,1,0,0,1,1,2,1,0,1,1,1,0,"Altdorf",169,15.1,"Friday"
"91",1998-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",52,9.1,"Saturday"
"92",1998-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,8.8,"Sunday"
"93",1998-04-06,2,0,0,1,1,0,2,0,0,0,0,0,2,"Altdorf",0,9.4,"Monday"
"94",1998-04-07,2,0,1,0,0,1,2,0,0,0,0,1,1,"Altdorf",71,9,"Tuesday"
"95",1998-04-08,4,1,1,0,2,0,3,1,1,0,3,0,0,"Altdorf",0,8.2,"Wednesday"
"96",1998-04-09,3,2,0,1,0,0,1,2,1,0,1,1,0,"Altdorf",75,9.1,"Thursday"
"97",1998-04-10,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,5.8,"Friday"
"98",1998-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",27,5.8,"Saturday"
"99",1998-04-12,2,1,0,0,1,0,0,2,0,0,0,2,0,"Altdorf",0,5.2,"Sunday"
"100",1998-04-13,3,1,1,0,0,1,1,2,0,0,1,1,1,"Altdorf",0,2.4,"Monday"
"101",1998-04-14,1,0,0,0,1,0,1,0,0,0,1,0,0,"Altdorf",28,4,"Tuesday"
"102",1998-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",284,10.4,"Wednesday"
"103",1998-04-16,2,0,1,1,0,0,0,2,0,1,0,0,1,"Altdorf",0,5.9,"Thursday"
"104",1998-04-17,1,0,1,0,0,0,1,0,0,0,0,0,1,"Altdorf",0,6.3,"Friday"
"105",1998-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,4.5,"Saturday"
"106",1998-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,5.6,"Sunday"
"107",1998-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,8.5,"Monday"
"108",1998-04-21,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,10.9,"Tuesday"
"109",1998-04-22,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,12.4,"Wednesday"
"110",1998-04-23,1,0,1,0,0,0,1,0,0,0,0,0,1,"Altdorf",0,13.9,"Thursday"
"111",1998-04-24,2,0,1,0,1,0,2,0,1,0,1,0,0,"Altdorf",0,12,"Friday"
"112",1998-04-25,2,0,1,1,0,0,1,1,0,1,0,0,1,"Altdorf",0,13.5,"Saturday"
"113",1998-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",172,18.4,"Sunday"
"114",1998-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",164,14.6,"Monday"
"115",1998-04-28,2,0,1,1,0,0,1,1,0,0,2,0,0,"Altdorf",0,7.3,"Tuesday"
"116",1998-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",64,10.7,"Wednesday"
"117",1998-04-30,2,0,1,0,1,0,2,0,0,1,1,0,0,"Altdorf",281,15.9,"Thursday"
"118",1998-05-01,1,0,0,0,1,0,1,0,0,0,1,0,0,"Altdorf",27,12.6,"Friday"
"119",1998-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,10.2,"Saturday"
"120",1998-05-03,2,0,0,2,0,0,2,0,0,0,2,0,0,"Altdorf",0,12.2,"Sunday"
"121",1998-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,10.3,"Monday"
"122",1998-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,11.1,"Tuesday"
"123",1998-05-06,1,0,0,0,1,0,1,0,0,0,1,0,0,"Altdorf",0,12.1,"Wednesday"
"124",1998-05-07,1,0,0,0,1,0,0,1,0,0,0,1,0,"Altdorf",0,14,"Thursday"
"125",1998-05-08,2,1,0,1,0,0,2,0,1,0,1,0,0,"Altdorf",121,18.4,"Friday"
"126",1998-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",12,18.5,"Saturday"
"127",1998-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",26,18.9,"Sunday"
"128",1998-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",24,21.6,"Monday"
"129",1998-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,20.8,"Tuesday"
"130",1998-05-13,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,20.9,"Wednesday"
"131",1998-05-14,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,18.8,"Thursday"
"132",1998-05-15,1,0,0,0,1,0,0,1,0,0,0,1,0,"Altdorf",0,17.2,"Friday"
"133",1998-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,15.6,"Saturday"
"134",1998-05-17,1,0,1,0,0,0,1,0,0,0,1,0,0,"Altdorf",0,13.1,"Sunday"
"135",1998-05-18,1,0,0,0,1,0,0,1,0,0,1,0,0,"Altdorf",0,13.2,"Monday"
"136",1998-05-19,3,1,1,0,1,0,1,2,1,1,0,1,0,"Altdorf",0,14.8,"Tuesday"
"137",1998-05-20,4,0,2,0,1,1,0,4,0,2,2,0,0,"Altdorf",0,16,"Wednesday"
"138",1998-05-21,3,2,0,0,1,0,1,2,0,0,0,2,1,"Altdorf",0,15,"Thursday"
"139",1998-05-22,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,13.5,"Friday"
"140",1998-05-23,1,0,0,0,1,0,1,0,0,0,0,1,0,"Altdorf",0,13.8,"Saturday"
"141",1998-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,13.6,"Sunday"
"142",1998-05-25,2,0,0,0,2,0,1,1,1,0,1,0,0,"Altdorf",0,13.8,"Monday"
"143",1998-05-26,1,0,0,1,0,0,1,0,0,0,1,0,0,"Altdorf",0,14.5,"Tuesday"
"144",1998-05-27,1,0,1,0,0,0,1,0,0,1,0,0,0,"Altdorf",98,16.1,"Wednesday"
"145",1998-05-28,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",151,17.4,"Thursday"
"146",1998-05-29,2,0,1,1,0,0,2,0,1,0,0,0,1,"Altdorf",0,14.4,"Friday"
"147",1998-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",1,16.9,"Saturday"
"148",1998-05-31,1,0,1,0,0,0,1,0,0,0,0,1,0,"Altdorf",61,16.8,"Sunday"
"149",1998-06-01,1,0,1,0,0,0,1,0,0,0,1,0,0,"Altdorf",0,16.2,"Monday"
"150",1998-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",29,20.9,"Tuesday"
"151",1998-06-03,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,17.6,"Wednesday"
"152",1998-06-04,2,0,1,0,1,0,2,0,0,1,1,0,0,"Altdorf",0,20.3,"Thursday"
"153",1998-06-05,4,0,3,0,1,0,2,2,2,1,0,1,0,"Altdorf",252,27.1,"Friday"
"154",1998-06-06,2,0,0,0,1,1,0,2,0,0,1,1,0,"Altdorf",244,26.1,"Saturday"
"155",1998-06-07,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,17.2,"Sunday"
"156",1998-06-08,1,0,0,0,1,0,0,1,0,0,1,0,0,"Altdorf",0,15.7,"Monday"
"157",1998-06-09,4,0,1,1,2,0,1,3,0,0,1,2,1,"Altdorf",0,17.9,"Tuesday"
"158",1998-06-10,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,16.4,"Wednesday"
"159",1998-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,"Altdorf",0,11.8,"Thursday"
