"","x"
"1","BE84"
"2","BE85"
"3","BE86"
"4","BE87"
"5","BE88"
"6","BE90"
"7","BE93"
"8","LU01"
"9","LU03"
"10","LU04"
"11","LU05"
"12","LU10"
"13","LU12"
"14","LU13"
"15","LU14"
"16","LU15"
"17","LU34"
"18","UR01"
"19","UR02"
"20","UR03"
"21","UR04"
"22","UR05"
"23","SZ01"
"24","SZ02"
"25","SZ03"
"26","SZ04"
"27","SZ05"
"28","SZ06"
"29","SZ07"
"30","SZ08"
"31","SZ09"
"32","SZ10"
"33","OW01"
"34","OW02"
"35","OW03"
"36","OW05"
"37","NW01"
"38","NW02"
"39","NW03"
"40","NW04"
"41","GL01"
"42","GL04"
"43","GL05"
"44","ZG01"
"45","ZG03"
"46","ZG05"
"47","ZG06"
"48","ZG07"
"49","SG22"
"50","SG23"
"51","SG24"
"52","SG25"
"53","SG26"
"54","GR01"
"55","GR02"
"56","GR03"
"57","GR04"
"58","GR05"
"59","GR06"
"60","GR07"
"61","GR08"
"62","GR09"
"63","GR10"
"64","GR11"
"65","GR12"
"66","GR13"
"67","GR14"
"68","GR15"
"69","GR16"
"70","GR17"
"71","GR18"
"72","GR19"
"73","GR20"
"74","GR21"
"75","GR22"
"76","GR23"
"77","GR24"
"78","GR25"
"79","GR26"
"80","TI01"
"81","TI02"
"82","TI03"
"83","TI04"
"84","TI06"
"85","TI07"
"86","TI08"
"87","TI09"
"88","TI10"
"89","TI11"
"90","TI12"
"91","TI13"
"92","TI14"
"93","TI15"
"94","TI16"
"95","TI17"
"96","TI18"
"97","TI19"
"98","TI20"
"99","TI21"
"100","TI22"
"101","TI23"
"102","TI24"
"103","TI25"
"104","TI26"
"105","TI27"
"106","TI28"
"107","TI29"
"108","TI30"
"109","TI31"
"110","TI32"
"111","TI33"
"112","TI34"
"113","VD41"
"114","VD42"
"115","VD44"
"116","VD45"
"117","VS01"
"118","VS02"
"119","VS03"
"120","VS04"
"121","VS05"
"122","VS06"
"123","VS07"
"124","VS08"
"125","VS09"
"126","VS10"
"127","VS11"
"128","VS12"
"129","VS13"
"130","VS14"
"131","VS15"
"132","VS16"
"133","VS17"
"134","VS18"
"135","VS19"
"136","VS20"
"137","VS21"
"138","VS22"
"139","VS23"
"140","VS25"
"141","VS26"
"142","VS28"
"143","VS29"
"144","FL00"
