"","time_conv","f_id"
"1",2008-01-23,0
"2",2008-01-24,0
"3",2008-01-25,118
"4",2008-01-26,22
"5",2008-01-27,229
"6",2008-01-28,75
"7",2008-01-29,0
"8",2008-01-30,0
"9",2008-01-31,9
"10",2008-02-01,0
"11",2008-02-02,64
"12",2008-02-03,0
"13",2008-02-04,2
"14",2008-02-05,65
"15",2008-02-06,57
"16",2008-02-07,230
"17",2008-02-08,0
"18",2008-02-09,0
"19",2008-02-10,0
"20",2008-02-11,0
"21",2008-02-12,0
"22",2008-02-13,0
"23",2008-02-14,0
"24",2008-02-15,98
"25",2008-02-16,0
"26",2008-02-17,0
"27",2008-02-18,0
"28",2008-02-19,0
"29",2008-02-20,0
"30",2008-02-21,0
"31",2008-02-22,0
"32",2008-02-23,0
"33",2008-02-24,0
"34",2008-02-25,0
"35",2008-02-26,0
"36",2008-02-27,0
"37",2008-02-28,0
"38",2008-02-29,0
"39",2008-03-01,58
"40",2008-03-02,159
"41",2008-03-03,1
"42",2008-03-04,274
"43",2008-03-05,278
"44",2008-03-06,2
"45",2008-03-07,0
"46",2008-03-08,0
"47",2008-03-09,0
"48",2008-03-10,0
"49",2008-03-11,86
"50",2008-03-12,60
"51",2008-03-13,228
"52",2008-03-14,4
"53",2008-03-15,0
"54",2008-03-16,0
"55",2008-03-17,87
"56",2008-03-18,209
"57",2008-03-19,114
"58",2008-03-20,233
"59",2008-03-21,0
"60",2008-03-22,57
"61",2008-03-23,153
"62",2008-03-24,263
"63",2008-03-25,147
"64",2008-03-26,0
"65",2008-03-27,0
"66",2008-03-28,0
"67",2008-03-29,32
"68",2008-03-30,0
"69",2008-03-31,0
"70",2008-04-01,145
"71",2008-04-02,251
"72",2008-04-03,182
"73",2008-04-04,253
"74",2008-04-05,58
"75",2008-04-06,0
"76",2008-04-07,32
"77",2008-04-08,0
"78",2008-04-09,0
"79",2008-04-10,0
"80",2008-04-11,0
"81",2008-04-12,111
"82",2008-04-13,0
"83",2008-04-14,32
"84",2008-04-15,288
"85",2008-04-16,18
"86",2008-04-17,0
"87",2008-04-18,0
"88",2008-04-19,0
"89",2008-04-20,0
"90",2008-04-21,0
"91",2008-04-22,131
"92",2008-04-23,143
"93",2008-04-24,41
"94",2008-04-25,186
"95",2008-04-26,142
"96",2008-04-27,0
