"","time","temp"
"1","19980101",4.5
"2","19980102",8.9
"3","19980103",6.2
"4","19980104",6.6
"5","19980105",6.6
"6","19980106",5.7
"7","19980107",6.6
"8","19980108",5
"9","19980109",3.3
"10","19980110",0.9
"11","19980111",0.6
"12","19980112",2.3
"13","19980113",11.1
"14","19980114",6
"15","19980115",4.8
"16","19980116",4.2
"17","19980117",3.6
"18","19980118",4.2
"19","19980119",5.7
"20","19980120",1.2
"21","19980121",1.7
"22","19980122",-1.2
"23","19980123",-2.7
"24","19980124",-1.6
"25","19980125",-0.7
"26","19980126",-1.2
"27","19980127",-3.3
"28","19980128",-3.2
"29","19980129",-2.4
"30","19980130",-2.5
"31","19980131",-2
"32","19980201",-2.3
"33","19980202",-2.3
"34","19980203",-0.6
"35","19980204",-1.2
"36","19980205",-1.7
"37","19980206",-1.7
"38","19980207",-0.4
"39","19980208",1.5
"40","19980209",0.5
"41","19980210",2.3
"42","19980211",3.7
"43","19980212",3.7
"44","19980213",4.2
"45","19980214",4.2
"46","19980215",5.1
"47","19980216",6.5
"48","19980217",7.2
"49","19980218",2.4
"50","19980219",4.4
"51","19980220",5.7
"52","19980221",13.3
"53","19980222",8.5
"54","19980223",4
"55","19980224",5.3
"56","19980225",6.3
"57","19980226",6.1
"58","19980227",5.6
"59","19980228",5.9
"60","19980301",4.1
"61","19980302",4.7
"62","19980303",5.4
"63","19980304",12.6
"64","19980305",10.4
"65","19980306",5.4
"66","19980307",9.5
"67","19980308",6.7
"68","19980309",2
"69","19980310",-0.1
"70","19980311",2.3
"71","19980312",2.6
"72","19980313",2.8
"73","19980314",3.3
"74","19980315",5
"75","19980316",6.1
"76","19980317",7.5
"77","19980318",8.3
"78","19980319",5.7
"79","19980320",5.1
"80","19980321",4.3
"81","19980322",3.6
"82","19980323",2.1
"83","19980324",1.6
"84","19980325",1.2
"85","19980326",3.3
"86","19980327",6.9
"87","19980328",9.7
"88","19980329",11.6
"89","19980330",13.4
"90","19980331",12.6
"91","19980401",12.4
"92","19980402",11.6
"93","19980403",15.1
"94","19980404",9.1
"95","19980405",8.8
"96","19980406",9.4
"97","19980407",9
"98","19980408",8.2
"99","19980409",9.1
"100","19980410",5.8
"101","19980411",5.8
"102","19980412",5.2
"103","19980413",2.4
"104","19980414",4
"105","19980415",10.4
"106","19980416",5.9
"107","19980417",6.3
"108","19980418",4.5
"109","19980419",5.6
"110","19980420",8.5
"111","19980421",10.9
"112","19980422",12.4
"113","19980423",13.9
"114","19980424",12
"115","19980425",13.5
"116","19980426",18.4
"117","19980427",14.6
"118","19980428",7.3
"119","19980429",10.7
"120","19980430",15.9
"121","19980501",12.6
"122","19980502",10.2
"123","19980503",12.2
"124","19980504",10.3
"125","19980505",11.1
"126","19980506",12.1
"127","19980507",14
"128","19980508",18.4
"129","19980509",18.5
"130","19980510",18.9
"131","19980511",21.6
"132","19980512",20.8
"133","19980513",20.9
"134","19980514",18.8
"135","19980515",17.2
"136","19980516",15.6
"137","19980517",13.1
"138","19980518",13.2
"139","19980519",14.8
"140","19980520",16
"141","19980521",15
"142","19980522",13.5
"143","19980523",13.8
"144","19980524",13.6
"145","19980525",13.8
"146","19980526",14.5
"147","19980527",16.1
"148","19980528",17.4
"149","19980529",14.4
"150","19980530",16.9
"151","19980531",16.8
"152","19980601",16.2
"153","19980602",20.9
"154","19980603",17.6
"155","19980604",20.3
"156","19980605",27.1
"157","19980606",26.1
"158","19980607",17.2
"159","19980608",15.7
"160","19980609",17.9
"161","19980610",16.4
"162","19980611",11.8
"163","19980612",8.7
"164","19980613",11
"165","19980614",13.6
"166","19980615",12.5
"167","19980616",12.5
"168","19980617",14.7
"169","19980618",16.6
"170","19980619",18.6
"171","19980620",21.4
"172","19980621",24
"173","19980622",21.7
"174","19980623",19.4
"175","19980624",20.2
"176","19980625",20.2
"177","19980626",18.7
"178","19980627",19.7
"179","19980628",17.8
"180","19980629",19.2
"181","19980630",18.7
"182","19980701",19.3
"183","19980702",16.9
"184","19980703",16.2
"185","19980704",18
"186","19980705",18.4
"187","19980706",19.6
"188","19980707",16.4
"189","19980708",12.6
"190","19980709",14.8
"191","19980710",16.9
"192","19980711",19.4
"193","19980712",20.6
"194","19980713",19.3
"195","19980714",16.2
"196","19980715",16.2
"197","19980716",14.9
"198","19980717",19.3
"199","19980718",21.2
"200","19980719",22.1
"201","19980720",26.1
"202","19980721",25.4
"203","19980722",20.9
"204","19980723",21.6
"205","19980724",20.6
"206","19980725",18.8
"207","19980726",20.3
"208","19980727",19
"209","19980728",17
"210","19980729",19.2
"211","19980730",20.4
"212","19980731",17.2
"213","19980801",17.8
"214","19980802",16.6
"215","19980803",16.3
"216","19980804",18
"217","19980805",19.2
"218","19980806",19
"219","19980807",20.5
"220","19980808",21.5
"221","19980809",24.3
"222","19980810",24.1
"223","19980811",25.6
"224","19980812",25.2
"225","19980813",21.5
"226","19980814",20.3
"227","19980815",20.9
"228","19980816",21.3
"229","19980817",22.2
"230","19980818",19
"231","19980819",20.7
"232","19980820",20.4
"233","19980821",17.7
"234","19980822",16.8
"235","19980823",17.1
"236","19980824",15.1
"237","19980825",16.3
"238","19980826",16.8
"239","19980827",13.9
"240","19980828",13.5
"241","19980829",13.7
"242","19980830",13.3
"243","19980831",15.3
"244","19980901",16.5
"245","19980902",19.1
"246","19980903",19.5
"247","19980904",18
"248","19980905",15.5
"249","19980906",15.5
"250","19980907",15.3
"251","19980908",16.3
"252","19980909",18.6
"253","19980910",21.6
"254","19980911",14.7
"255","19980912",10.9
"256","19980913",9.1
"257","19980914",9.6
"258","19980915",11.3
"259","19980916",13.2
"260","19980917",13.3
"261","19980918",12.4
"262","19980919",11.5
"263","19980920",11.7
"264","19980921",11.4
"265","19980922",10.8
"266","19980923",10.1
"267","19980924",12.6
"268","19980925",17.4
"269","19980926",20.8
"270","19980927",14.6
"271","19980928",13.6
"272","19980929",13.4
"273","19980930",13.1
"274","19981001",10.1
"275","19981002",9.3
"276","19981003",9.9
"277","19981004",9.9
"278","19981005",10.8
"279","19981006",11.3
"280","19981007",10.7
"281","19981008",9.7
"282","19981009",10.8
"283","19981010",11.1
"284","19981011",11.5
"285","19981012",10.9
"286","19981013",9.2
"287","19981014",10.4
"288","19981015",13.4
"289","19981016",12.8
"290","19981017",18.8
"291","19981018",10.8
"292","19981019",8.8
"293","19981020",7.5
"294","19981021",6.5
"295","19981022",8.5
"296","19981023",8.8
"297","19981024",11.9
"298","19981025",10.9
"299","19981026",7.6
"300","19981027",7.5
"301","19981028",11.8
"302","19981029",10.5
"303","19981030",7.3
"304","19981031",7.3
"305","19981101",9.2
"306","19981102",7.5
"307","19981103",11
"308","19981104",6.5
"309","19981105",5.5
"310","19981106",3.3
"311","19981107",3.2
"312","19981108",4
"313","19981109",8.4
"314","19981110",9.5
"315","19981111",4.4
"316","19981112",1.8
"317","19981113",4.5
"318","19981114",6.3
"319","19981115",4.6
"320","19981116",3
"321","19981117",1.4
"322","19981118",-2.5
"323","19981119",-1.9
"324","19981120",-1.2
"325","19981121",-3.8
"326","19981122",-5.6
"327","19981123",-3.5
"328","19981124",-0.2
"329","19981125",1.8
"330","19981126",1.6
"331","19981127",1.8
"332","19981128",-0.3
"333","19981129",-0.3
"334","19981130",1.2
"335","19981201",1.2
"336","19981202",0.1
"337","19981203",-0.2
"338","19981204",-0.4
"339","19981205",-0.3
"340","19981206",0.1
"341","19981207",-0.7
"342","19981208",-4
"343","19981209",-2.9
"344","19981210",1.3
"345","19981211",2.1
"346","19981212",2.8
"347","19981213",6.5
"348","19981214",4.9
"349","19981215",2.1
"350","19981216",2.4
"351","19981217",1.2
"352","19981218",-0.9
"353","19981219",3.6
"354","19981220",2.7
"355","19981221",0.7
"356","19981222",-1.9
"357","19981223",-2.5
"358","19981224",-0.4
"359","19981225",-0.5
"360","19981226",2.2
"361","19981227",3.9
"362","19981228",3.3
"363","19981229",5.5
"364","19981230",3.6
"365","19981231",11
"366","19990101",13
"367","19990102",5.9
"368","19990103",5.8
"369","19990104",6.5
"370","19990105",4.3
"371","19990106",2.4
"372","19990107",3.9
"373","19990108",6.5
"374","19990109",3.5
"375","19990110",4.1
"376","19990111",1.5
"377","19990112",-0.7
"378","19990113",0.1
"379","19990114",1
"380","19990115",0.5
"381","19990116",5.2
"382","19990117",11.2
"383","19990118",3.6
"384","19990119",1
"385","19990120",0.3
"386","19990121",-1.2
"387","19990122",-2.5
"388","19990123",-2.8
"389","19990124",-1.3
"390","19990125",0.9
"391","19990126",4.4
"392","19990127",2.8
"393","19990128",2.8
"394","19990129",0.7
"395","19990130",-4
"396","19990131",-5
"397","19990201",-5.9
"398","19990202",-2.6
"399","19990203",0.6
"400","19990204",2.6
"401","19990205",3.5
"402","19990206",2.9
"403","19990207",0.5
"404","19990208",-1.6
"405","19990209",-0.3
"406","19990210",-2.6
"407","19990211",-3.5
"408","19990212",-7.2
"409","19990213",-7.6
"410","19990214",-6.1
"411","19990215",-5.2
"412","19990216",-1.4
"413","19990217",2.6
"414","19990218",1.5
"415","19990219",2.3
"416","19990220",3.3
