"","time","temp"
"1","19980101",8.3
"2","19980102",8.8
"3","19980103",4.9
"4","19980104",4
"5","19980105",4.5
"6","19980106",3.7
"7","19980107",4.2
"8","19980108",3
"9","19980109",2.5
"10","19980110",4.6
"11","19980111",7.3
"12","19980112",9
"13","19980113",9.8
"14","19980114",7
"15","19980115",5
"16","19980116",5.6
"17","19980117",3.2
"18","19980118",3.8
"19","19980119",4.2
"20","19980120",0.8
"21","19980121",0.8
"22","19980122",-1.8
"23","19980123",-4.2
"24","19980124",-4
"25","19980125",-2.2
"26","19980126",-2.3
"27","19980127",-5.3
"28","19980128",-4
"29","19980129",-5
"30","19980130",-4.5
"31","19980131",-3.5
"32","19980201",-3.9
"33","19980202",-2.3
"34","19980203",-2
"35","19980204",-2.4
"36","19980205",-3.2
"37","19980206",-1.7
"38","19980207",1.4
"39","19980208",2.1
"40","19980209",2.6
"41","19980210",3.9
"42","19980211",5.1
"43","19980212",6.4
"44","19980213",6.2
"45","19980214",5.2
"46","19980215",6.4
"47","19980216",9.5
"48","19980217",6.6
"49","19980218",5.6
"50","19980219",7.7
"51","19980220",9.6
"52","19980221",12.6
"53","19980222",9.1
"54","19980223",3.9
"55","19980224",6.6
"56","19980225",6.5
"57","19980226",6.7
"58","19980227",6.8
"59","19980228",5.9
"60","19980301",3.2
"61","19980302",4.6
"62","19980303",7.8
"63","19980304",13.8
"64","19980305",8.9
"65","19980306",5.3
"66","19980307",8.8
"67","19980308",6.1
"68","19980309",1.4
"69","19980310",-0.3
"70","19980311",2.3
"71","19980312",2.9
"72","19980313",2.8
"73","19980314",2.2
"74","19980315",3.7
"75","19980316",3.9
"76","19980317",6.8
"77","19980318",8.1
"78","19980319",5.9
"79","19980320",3.7
"80","19980321",2.4
"81","19980322",1.6
"82","19980323",1.8
"83","19980324",1.3
"84","19980325",1.1
"85","19980326",3.7
"86","19980327",7
"87","19980328",10.4
"88","19980329",13.6
"89","19980330",13.4
"90","19980331",14.2
"91","19980401",12.6
"92","19980402",12.6
"93","19980403",14.6
"94","19980404",9.8
"95","19980405",5.4
"96","19980406",6.8
"97","19980407",9.1
"98","19980408",7.8
"99","19980409",8.3
"100","19980410",7.3
"101","19980411",6.2
"102","19980412",5
"103","19980413",3
"104","19980414",4.5
"105","19980415",8.1
"106","19980416",6.6
"107","19980417",8.1
"108","19980418",5.6
"109","19980419",5.6
"110","19980420",9.2
"111","19980421",10.1
"112","19980422",12.9
"113","19980423",13.8
"114","19980424",11.8
"115","19980425",14.8
"116","19980426",17.9
"117","19980427",15.3
"118","19980428",6.4
"119","19980429",11.4
"120","19980430",13.7
"121","19980501",12.2
"122","19980502",10.1
"123","19980503",12.1
"124","19980504",10.3
"125","19980505",10.8
"126","19980506",11.8
"127","19980507",15.1
"128","19980508",17.9
"129","19980509",18.3
"130","19980510",19.8
"131","19980511",20.5
"132","19980512",20.7
"133","19980513",20.9
"134","19980514",18.8
"135","19980515",17.5
"136","19980516",14.6
"137","19980517",12.5
"138","19980518",11.3
"139","19980519",13.6
"140","19980520",15.5
"141","19980521",14.4
"142","19980522",12.5
"143","19980523",12.5
"144","19980524",12.8
"145","19980525",13.9
"146","19980526",15.2
"147","19980527",16.4
"148","19980528",17.7
"149","19980529",13.8
"150","19980530",17.2
"151","19980531",16.5
"152","19980601",16.5
"153","19980602",21.8
"154","19980603",18.7
"155","19980604",20.7
"156","19980605",24.8
"157","19980606",24.9
"158","19980607",17.7
"159","19980608",14.5
"160","19980609",18.1
"161","19980610",17.7
"162","19980611",12.1
"163","19980612",8.8
"164","19980613",10.3
"165","19980614",12.8
"166","19980615",11.2
"167","19980616",12
"168","19980617",13.8
"169","19980618",15.6
"170","19980619",17.8
"171","19980620",21.5
"172","19980621",24
"173","19980622",22.4
"174","19980623",19.4
"175","19980624",19.6
"176","19980625",20.9
"177","19980626",18.6
"178","19980627",20.5
"179","19980628",18.3
"180","19980629",19.9
"181","19980630",20
