"","time","temp"
"1","19980101",5
"2","19980102",5.1
"3","19980103",4.3
"4","19980104",4.8
"5","19980105",4.7
"6","19980106",5.2
"7","19980107",2.9
"8","19980108",3.7
"9","19980109",3.8
"10","19980110",3.2
"11","19980111",3.5
"12","19980112",1.8
"13","19980113",3.8
"14","19980114",4.8
"15","19980115",6.7
"16","19980116",6.7
"17","19980117",7.8
"18","19980118",3.8
"19","19980119",3.5
"20","19980120",5.7
"21","19980121",8.4
"22","19980122",4.5
"23","19980123",3
"24","19980124",3.1
"25","19980125",4
"26","19980126",3
"27","19980127",1.5
"28","19980128",0.9
"29","19980129",1.3
"30","19980130",1.1
"31","19980131",1.3
"32","19980201",1.7
"33","19980202",1.5
"34","19980203",1.2
"35","19980204",2.1
"36","19980205",2.4
"37","19980206",3.3
"38","19980207",3.6
"39","19980208",8.4
"40","19980209",4.3
"41","19980210",4.7
"42","19980211",6.1
"43","19980212",7
"44","19980213",8.4
"45","19980214",9.4
"46","19980215",9.2
"47","19980216",9.5
"48","19980217",14.4
"49","19980218",8.9
"50","19980219",7.5
"51","19980220",8.1
"52","19980221",8.6
"53","19980222",7.5
"54","19980223",6.9
"55","19980224",8
"56","19980225",9.9
"57","19980226",8.7
"58","19980227",8.7
"59","19980228",8.4
"60","19980301",9.5
"61","19980302",8.1
"62","19980303",8.2
"63","19980304",8
"64","19980305",10.7
"65","19980306",8.6
"66","19980307",9.1
"67","19980308",11.7
"68","19980309",9.4
"69","19980310",6.5
"70","19980311",4.3
"71","19980312",4.7
"72","19980313",6
"73","19980314",9.2
"74","19980315",14.7
"75","19980316",10.6
"76","19980317",13.4
"77","19980318",12.8
"78","19980319",11.8
"79","19980320",10.8
"80","19980321",10
"81","19980322",6.9
"82","19980323",4.2
"83","19980324",4.1
"84","19980325",5.3
"85","19980326",6.8
"86","19980327",7.5
"87","19980328",10.2
"88","19980329",11.7
"89","19980330",11.9
"90","19980331",12.3
"91","19980401",12.5
"92","19980402",11.7
"93","19980403",11.2
"94","19980404",12.6
"95","19980405",12.2
"96","19980406",10.7
"97","19980407",8.1
"98","19980408",9.3
"99","19980409",8.6
"100","19980410",7.3
"101","19980411",5.4
"102","19980412",7.2
"103","19980413",6.1
"104","19980414",8.6
"105","19980415",5
"106","19980416",6.2
"107","19980417",7.5
"108","19980418",10.1
"109","19980419",11.4
"110","19980420",10.7
"111","19980421",12.9
"112","19980422",14
"113","19980423",14.3
"114","19980424",15.5
"115","19980425",15.8
"116","19980426",14.7
"117","19980427",12.6
"118","19980428",10
"119","19980429",10.1
"120","19980430",9.7
"121","19980501",10.6
"122","19980502",12.2
"123","19980503",13.9
"124","19980504",16.2
"125","19980505",14.8
