"","time","temp"
"1","19980101",2.7
"2","19980102",3.8
"3","19980103",2.4
"4","19980104",2.6
"5","19980105",1.8
"6","19980106",3.5
"7","19980107",1.9
"8","19980108",1.2
"9","19980109",0.4
"10","19980110",-0.1
"11","19980111",0.2
"12","19980112",1
"13","19980113",1.9
"14","19980114",3.3
"15","19980115",5.1
"16","19980116",5.4
"17","19980117",6.9
"18","19980118",1.2
"19","19980119",1.9
"20","19980120",4.5
"21","19980121",7.6
"22","19980122",3.8
"23","19980123",0.6
"24","19980124",0.7
"25","19980125",2.7
"26","19980126",1.5
"27","19980127",-0.2
"28","19980128",-1.4
"29","19980129",-0.9
"30","19980130",-0.9
"31","19980131",-1.2
"32","19980201",0.2
"33","19980202",0.5
"34","19980203",-1.2
"35","19980204",-0.2
"36","19980205",-0.2
"37","19980206",0.7
"38","19980207",0.7
"39","19980208",6.8
"40","19980209",1.8
"41","19980210",2.3
"42","19980211",4
"43","19980212",5.1
"44","19980213",7.2
"45","19980214",7.3
"46","19980215",6.6
"47","19980216",7.1
"48","19980217",12.9
"49","19980218",7
"50","19980219",5.1
"51","19980220",5.1
"52","19980221",6.7
"53","19980222",6.8
"54","19980223",6.6
"55","19980224",6.9
"56","19980225",8.5
"57","19980226",6.6
"58","19980227",6.8
"59","19980228",6.4
"60","19980301",9
"61","19980302",7.1
"62","19980303",6.1
"63","19980304",6.9
"64","19980305",10.6
"65","19980306",7
"66","19980307",8.2
"67","19980308",10.5
"68","19980309",8.2
"69","19980310",5.8
"70","19980311",3.9
"71","19980312",4.2
"72","19980313",5
"73","19980314",7.7
"74","19980315",14.8
"75","19980316",10.5
"76","19980317",13.6
"77","19980318",12.9
"78","19980319",10.6
"79","19980320",10.6
"80","19980321",11.2
"81","19980322",7.4
"82","19980323",4.9
"83","19980324",4.3
"84","19980325",5.3
"85","19980326",7.6
"86","19980327",6.8
"87","19980328",8.9
"88","19980329",11.2
"89","19980330",11.2
"90","19980331",11.2
"91","19980401",11.8
"92","19980402",12.1
"93","19980403",11.2
"94","19980404",11.9
"95","19980405",10.2
"96","19980406",11.1
"97","19980407",7.4
"98","19980408",8.5
"99","19980409",7.7
"100","19980410",5
"101","19980411",3.7
"102","19980412",7.3
"103","19980413",6.5
"104","19980414",8.1
"105","19980415",4.6
"106","19980416",6.6
"107","19980417",6.8
"108","19980418",9.9
"109","19980419",10.4
"110","19980420",10.2
"111","19980421",12.3
"112","19980422",13.8
"113","19980423",14.9
"114","19980424",16.2
"115","19980425",16.5
"116","19980426",14.2
"117","19980427",12.2
"118","19980428",9.6
"119","19980429",9.6
"120","19980430",9.5
"121","19980501",10.2
"122","19980502",12.2
"123","19980503",14.5
"124","19980504",16.2
"125","19980505",16.1
"126","19980506",13.1
"127","19980507",13.9
"128","19980508",15.3
"129","19980509",16.9
"130","19980510",18.3
"131","19980511",19
"132","19980512",19.9
"133","19980513",20.2
"134","19980514",18.7
"135","19980515",18.4
"136","19980516",17
"137","19980517",15.9
"138","19980518",16.7
"139","19980519",17.3
"140","19980520",18.7
"141","19980521",18.3
"142","19980522",20.6
"143","19980523",18.4
"144","19980524",15.8
"145","19980525",16.6
"146","19980526",16.3
"147","19980527",13.6
"148","19980528",13.4
"149","19980529",13.3
"150","19980530",16.4
"151","19980531",15.3
"152","19980601",16.6
"153","19980602",18.1
"154","19980603",18.9
"155","19980604",21.6
"156","19980605",22.1
"157","19980606",21.4
"158","19980607",17.6
"159","19980608",19.1
"160","19980609",19.8
"161","19980610",18.2
"162","19980611",15.8
"163","19980612",17.8
"164","19980613",16.5
"165","19980614",16.2
"166","19980615",14.7
"167","19980616",16.4
"168","19980617",18.3
"169","19980618",18.1
"170","19980619",20.1
"171","19980620",21.6
"172","19980621",23.1
"173","19980622",24.4
"174","19980623",23.6
"175","19980624",21.9
"176","19980625",23.9
"177","19980626",20.7
"178","19980627",21.2
"179","19980628",22.6
"180","19980629",23.2
"181","19980630",22.7
"182","19980701",22.2
"183","19980702",22.2
"184","19980703",19.4
"185","19980704",21.5
"186","19980705",22.4
"187","19980706",22.1
"188","19980707",19
"189","19980708",20.8
"190","19980709",19.5
"191","19980710",21.8
"192","19980711",21.5
"193","19980712",22.7
"194","19980713",22.5
"195","19980714",23.3
"196","19980715",20.2
"197","19980716",18.8
"198","19980717",20.7
"199","19980718",21.9
"200","19980719",23.2
"201","19980720",24.7
"202","19980721",25.3
"203","19980722",25
"204","19980723",24.7
"205","19980724",25.4
"206","19980725",23.9
"207","19980726",23.5
"208","19980727",20.8
"209","19980728",22.3
"210","19980729",21.9
"211","19980730",22.7
"212","19980731",22.1
"213","19980801",20
"214","19980802",21.7
"215","19980803",19.7
"216","19980804",21
"217","19980805",24.5
"218","19980806",21.8
"219","19980807",23.2
"220","19980808",23.8
"221","19980809",24.7
"222","19980810",25
"223","19980811",24.4
"224","19980812",24.6
"225","19980813",23.5
"226","19980814",24.1
"227","19980815",23.4
"228","19980816",23.1
"229","19980817",22
"230","19980818",20.7
"231","19980819",21
"232","19980820",21.4
"233","19980821",21.5
"234","19980822",21.2
"235","19980823",23.5
"236","19980824",21.5
"237","19980825",21.3
"238","19980826",19
"239","19980827",20.4
"240","19980828",18.9
"241","19980829",16.9
"242","19980830",18.2
"243","19980831",17.3
"244","19980901",18.1
"245","19980902",19.7
"246","19980903",18.5
"247","19980904",18.3
"248","19980905",18.3
"249","19980906",17.1
"250","19980907",15.3
"251","19980908",17.8
"252","19980909",18.5
"253","19980910",18.8
"254","19980911",17.7
"255","19980912",16.5
"256","19980913",12.1
"257","19980914",11.5
"258","19980915",13.2
"259","19980916",13.8
"260","19980917",15.4
"261","19980918",14.9
"262","19980919",14.1
"263","19980920",15.4
"264","19980921",15.1
"265","19980922",14.2
"266","19980923",13.4
"267","19980924",15.3
"268","19980925",15.3
"269","19980926",14.8
"270","19980927",16
"271","19980928",15.5
"272","19980929",15.4
"273","19980930",15
"274","19981001",12.4
"275","19981002",11.2
"276","19981003",12.4
"277","19981004",11.1
"278","19981005",11.5
"279","19981006",12.8
"280","19981007",13
"281","19981008",12
"282","19981009",12.3
"283","19981010",11.3
"284","19981011",10.8
"285","19981012",11.2
"286","19981013",12.2
"287","19981014",10.1
"288","19981015",10.4
"289","19981016",12.2
"290","19981017",13.4
"291","19981018",14.4
"292","19981019",11.7
"293","19981020",11.6
"294","19981021",7.8
"295","19981022",8.1
"296","19981023",8.2
"297","19981024",11.9
"298","19981025",10.7
"299","19981026",10.3
"300","19981027",9.5
"301","19981028",8.3
"302","19981029",9.6
"303","19981030",9.9
"304","19981031",9.9
"305","19981101",8.8
"306","19981102",9.5
"307","19981103",9.5
"308","19981104",9.8
"309","19981105",8.4
"310","19981106",4.2
"311","19981107",4.4
"312","19981108",3.9
"313","19981109",6.5
"314","19981110",5.9
"315","19981111",9.3
"316","19981112",4
"317","19981113",3.8
"318","19981114",3.5
"319","19981115",4.7
"320","19981116",4.8
"321","19981117",5
"322","19981118",0.7
"323","19981119",-1
"324","19981120",1.6
"325","19981121",2.3
"326","19981122",-2.9
"327","19981123",-1.1
"328","19981124",2.9
"329","19981125",3
"330","19981126",3.1
"331","19981127",1.5
"332","19981128",0.1
"333","19981129",-0.5
"334","19981130",1.3
"335","19981201",2.3
"336","19981202",3.8
"337","19981203",4.1
"338","19981204",3.5
"339","19981205",4.5
"340","19981206",3
"341","19981207",4
"342","19981208",-0.1
"343","19981209",-1.8
"344","19981210",0.2
"345","19981211",-0.4
"346","19981212",-0.9
"347","19981213",3.2
"348","19981214",2.4
"349","19981215",0.1
"350","19981216",3.2
"351","19981217",1.7
"352","19981218",0.6
"353","19981219",-0.2
"354","19981220",1.1
"355","19981221",4.7
"356","19981222",0.3
"357","19981223",-2.9
"358","19981224",-1.9
"359","19981225",-3.1
"360","19981226",-1.7
"361","19981227",-0.2
"362","19981228",2.5
"363","19981229",2.4
"364","19981230",2.3
"365","19981231",2.9
"366","19990101",1
"367","19990102",2.7
"368","19990103",3.4
"369","19990104",5
"370","19990105",1.8
"371","19990106",1.3
"372","19990107",0.4
"373","19990108",1.4
"374","19990109",2.4
"375","19990110",1.3
"376","19990111",1.1
"377","19990112",2.3
"378","19990113",2.7
"379","19990114",0
"380","19990115",0.8
"381","19990116",1.3
"382","19990117",3
"383","19990118",3.5
"384","19990119",1.7
"385","19990120",1.9
"386","19990121",1.8
"387","19990122",1.2
"388","19990123",1
"389","19990124",0.7
"390","19990125",1
"391","19990126",1.5
"392","19990127",3.5
"393","19990128",1.9
"394","19990129",4.7
"395","19990130",1.2
"396","19990131",0.6
"397","19990201",-2.8
"398","19990202",-1.1
"399","19990203",0.7
"400","19990204",2.6
"401","19990205",8.5
"402","19990206",4.5
"403","19990207",3.1
"404","19990208",3.6
"405","19990209",-0.2
"406","19990210",2.7
"407","19990211",2
"408","19990212",1.8
"409","19990213",0.6
"410","19990214",0
"411","19990215",-1.5
"412","19990216",-0.7
"413","19990217",3.1
"414","19990218",5.6
"415","19990219",3.6
"416","19990220",3.8
"417","19990221",5.2
"418","19990222",6.1
"419","19990223",2.8
"420","19990224",2.8
"421","19990225",3.4
"422","19990226",3.7
"423","19990227",4.5
"424","19990228",4.6
"425","19990301",5.2
"426","19990302",7.1
"427","19990303",7
"428","19990304",6.3
"429","19990305",6.3
"430","19990306",3.5
"431","19990307",5.3
"432","19990308",5.1
"433","19990309",6.4
"434","19990310",6.9
"435","19990311",8.2
"436","19990312",7.9
"437","19990313",9
"438","19990314",10.3
"439","19990315",11.7
"440","19990316",12.5
"441","19990317",8.8
"442","19990318",6.1
