"","time","temp"
"1","19980101",3.1
"2","19980102",-0.2
"3","19980103",-0.3
"4","19980104",1.1
"5","19980105",0.6
"6","19980106",0.4
"7","19980107",1.2
"8","19980108",1.8
"9","19980109",2.1
"10","19980110",4
"11","19980111",6.4
"12","19980112",7.2
"13","19980113",3.7
"14","19980114",1.1
"15","19980115",-1.1
"16","19980116",-0.5
"17","19980117",-2.7
"18","19980118",-2.6
"19","19980119",-2.3
"20","19980120",-6
"21","19980121",-4.9
"22","19980122",-8.1
"23","19980123",-5
"24","19980124",-6.3
"25","19980125",-4.7
"26","19980126",-5.3
"27","19980127",-4.7
"28","19980128",-4.6
"29","19980129",-4.3
"30","19980130",-3.5
"31","19980131",-4.6
"32","19980201",-3.5
"33","19980202",-3.9
"34","19980203",-3.6
"35","19980204",-1.1
"36","19980205",-1.9
"37","19980206",-1
"38","19980207",0.4
"39","19980208",-1.3
"40","19980209",1.9
"41","19980210",4.4
"42","19980211",4.9
"43","19980212",5.4
"44","19980213",5.6
"45","19980214",6
"46","19980215",5.3
"47","19980216",7.6
"48","19980217",3.6
"49","19980218",4.9
"50","19980219",6.9
"51","19980220",7
"52","19980221",7
"53","19980222",1.2
"54","19980223",-2
"55","19980224",-0.4
"56","19980225",2.4
"57","19980226",4.8
"58","19980227",5.3
"59","19980228",3.6
"60","19980301",0.3
"61","19980302",-0.5
"62","19980303",4.1
"63","19980304",8.4
"64","19980305",2
"65","19980306",3.7
"66","19980307",5.9
"67","19980308",0
"68","19980309",-3
"69","19980310",-6.3
"70","19980311",-3.4
"71","19980312",-3.2
"72","19980313",-2.9
"73","19980314",-1.8
"74","19980315",0.8
"75","19980316",2.6
"76","19980317",4.2
"77","19980318",4.5
"78","19980319",3.5
"79","19980320",1
"80","19980321",0.8
"81","19980322",-0.3
"82","19980323",-1.4
"83","19980324",-3.4
"84","19980325",-2.2
"85","19980326",1.6
"86","19980327",3.9
"87","19980328",7.8
"88","19980329",9.8
"89","19980330",9.4
"90","19980331",9.3
"91","19980401",7
"92","19980402",5.7
"93","19980403",7.6
"94","19980404",3.9
"95","19980405",4.6
"96","19980406",4.7
"97","19980407",2.5
"98","19980408",2.2
"99","19980409",3.3
"100","19980410",0
