"","time","temp"
"1","19980101",1.3
"2","19980102",0.5
"3","19980103",-0.7
"4","19980104",-2.2
"5","19980105",-2.4
"6","19980106",0.6
"7","19980107",-1.6
"8","19980108",-2.6
"9","19980109",-2.2
"10","19980110",-1.4
"11","19980111",-1.7
"12","19980112",-1.9
"13","19980113",-1.9
"14","19980114",1
"15","19980115",1.6
"16","19980116",1.2
"17","19980117",2.2
"18","19980118",-2.8
"19","19980119",0.1
"20","19980120",-0.8
"21","19980121",1.1
"22","19980122",-2.4
"23","19980123",-5.1
"24","19980124",-3.6
"25","19980125",-3.6
"26","19980126",-3.9
"27","19980127",-6.8
"28","19980128",-7.3
"29","19980129",-5.6
"30","19980130",-7.7
"31","19980131",-6.7
"32","19980201",-7.5
"33","19980202",-7.6
"34","19980203",-6.7
"35","19980204",-6.2
"36","19980205",-4.3
"37","19980206",-3.6
"38","19980207",-1.9
"39","19980208",0.2
"40","19980209",-2.8
"41","19980210",0.3
"42","19980211",1.8
"43","19980212",6.8
"44","19980213",8.3
"45","19980214",5.1
"46","19980215",5.2
"47","19980216",5.8
"48","19980217",7.7
"49","19980218",2.8
"50","19980219",4.1
"51","19980220",3.9
"52","19980221",3.8
"53","19980222",1.2
"54","19980223",2.5
"55","19980224",3.8
"56","19980225",5.3
"57","19980226",3
"58","19980227",4
"59","19980228",3.4
"60","19980301",4.6
"61","19980302",1.7
"62","19980303",2.6
"63","19980304",4.6
"64","19980305",4.7
"65","19980306",3.4
"66","19980307",5.2
"67","19980308",6
"68","19980309",2.5
"69","19980310",-1.6
"70","19980311",-2.2
"71","19980312",-0.4
"72","19980313",1.4
"73","19980314",3.8
"74","19980315",7
"75","19980316",9.9
"76","19980317",10.9
"77","19980318",9.1
"78","19980319",5.7
"79","19980320",4.6
"80","19980321",4
"81","19980322",1.5
"82","19980323",-1.6
"83","19980324",-0.8
"84","19980325",0.7
"85","19980326",-0.2
"86","19980327",2.4
"87","19980328",5.9
"88","19980329",7.4
"89","19980330",6.7
"90","19980331",6.5
"91","19980401",7.4
"92","19980402",8
"93","19980403",7
"94","19980404",8.1
"95","19980405",7
"96","19980406",4.6
"97","19980407",3
"98","19980408",4.1
"99","19980409",4.3
"100","19980410",1.7
"101","19980411",1.1
"102","19980412",0.8
"103","19980413",-0.2
"104","19980414",1.8
"105","19980415",0.9
"106","19980416",3.3
"107","19980417",3.6
"108","19980418",4.7
"109","19980419",4.7
"110","19980420",4.2
"111","19980421",7.5
"112","19980422",8.4
"113","19980423",9.9
"114","19980424",11.1
"115","19980425",11.3
"116","19980426",11.5
"117","19980427",9.6
"118","19980428",5.2
"119","19980429",5.8
"120","19980430",6.9
"121","19980501",6.5
"122","19980502",7.1
"123","19980503",9.7
"124","19980504",12.3
"125","19980505",10.9
"126","19980506",7.1
"127","19980507",10.1
"128","19980508",12.3
"129","19980509",12.8
"130","19980510",13.9
"131","19980511",14.3
"132","19980512",15.3
"133","19980513",15.8
"134","19980514",14.5
"135","19980515",12.9
"136","19980516",11
"137","19980517",9.3
"138","19980518",11.7
"139","19980519",11.9
"140","19980520",11.8
"141","19980521",13.3
"142","19980522",14.3
"143","19980523",12
"144","19980524",9.1
"145","19980525",9.1
"146","19980526",10
"147","19980527",10.9
"148","19980528",9.8
"149","19980529",9.6
"150","19980530",12.4
"151","19980531",11.7
"152","19980601",12.1
"153","19980602",13.5
"154","19980603",15.2
"155","19980604",16.3
"156","19980605",16.1
"157","19980606",17.3
"158","19980607",14
"159","19980608",14.4
"160","19980609",13.4
"161","19980610",14.3
"162","19980611",11.4
"163","19980612",10.4
"164","19980613",8.5
"165","19980614",9.1
"166","19980615",8.9
"167","19980616",9.8
"168","19980617",13
"169","19980618",13
"170","19980619",15.4
"171","19980620",16
"172","19980621",18.4
"173","19980622",19.3
"174","19980623",17.2
"175","19980624",16.2
"176","19980625",18.4
"177","19980626",16.2
"178","19980627",16.9
"179","19980628",17.5
"180","19980629",17.8
"181","19980630",16.8
"182","19980701",17.5
"183","19980702",17.4
"184","19980703",13.7
"185","19980704",18.6
"186","19980705",17.9
"187","19980706",16.1
"188","19980707",14.6
"189","19980708",13.1
"190","19980709",15.1
"191","19980710",15.4
"192","19980711",17
"193","19980712",17.7
"194","19980713",18.7
"195","19980714",15.4
"196","19980715",13.6
"197","19980716",12.7
"198","19980717",15.1
"199","19980718",16.3
"200","19980719",18.2
"201","19980720",19
"202","19980721",18.7
"203","19980722",19.2
"204","19980723",18.9
"205","19980724",19
"206","19980725",17.2
"207","19980726",17.1
"208","19980727",14.8
"209","19980728",17.7
"210","19980729",15.5
"211","19980730",17.4
"212","19980731",16.9
"213","19980801",17
"214","19980802",17.8
"215","19980803",13.6
"216","19980804",17
"217","19980805",20.8
"218","19980806",15.7
"219","19980807",17.2
"220","19980808",18.3
"221","19980809",19.4
"222","19980810",19.3
"223","19980811",19.6
"224","19980812",18.7
"225","19980813",16.7
"226","19980814",18.3
"227","19980815",17
"228","19980816",17
"229","19980817",17
"230","19980818",14.9
"231","19980819",15.9
"232","19980820",16.6
"233","19980821",15.9
"234","19980822",16.8
"235","19980823",17.7
"236","19980824",15.8
"237","19980825",14.6
"238","19980826",13.4
"239","19980827",14.6
"240","19980828",14
"241","19980829",9.7
"242","19980830",11.3
"243","19980831",12.2
"244","19980901",14.2
"245","19980902",15.7
"246","19980903",15.4
"247","19980904",15
"248","19980905",13.6
"249","19980906",12.4
"250","19980907",12.1
"251","19980908",12.7
"252","19980909",13
"253","19980910",15.1
"254","19980911",13.1
"255","19980912",10.6
"256","19980913",7
"257","19980914",8.6
"258","19980915",8.6
"259","19980916",9.3
"260","19980917",10.8
"261","19980918",10.9
"262","19980919",7.5
"263","19980920",9.3
"264","19980921",9.9
"265","19980922",9.9
"266","19980923",9.1
"267","19980924",10.1
"268","19980925",10.3
"269","19980926",11.1
"270","19980927",10.7
"271","19980928",9.5
"272","19980929",10.2
"273","19980930",10.4
"274","19981001",8.5
"275","19981002",6.8
"276","19981003",7.3
"277","19981004",6
"278","19981005",7.2
"279","19981006",7.9
"280","19981007",7.7
"281","19981008",8
"282","19981009",8.2
"283","19981010",7.8
"284","19981011",8.3
"285","19981012",7.9
"286","19981013",7.3
"287","19981014",7.8
"288","19981015",7.9
"289","19981016",8.3
"290","19981017",9.8
"291","19981018",9.3
"292","19981019",8
"293","19981020",6.3
"294","19981021",3.1
"295","19981022",3.9
"296","19981023",6
"297","19981024",9
"298","19981025",5.9
"299","19981026",6.3
"300","19981027",4.9
"301","19981028",5.9
"302","19981029",7.1
"303","19981030",6.3
"304","19981031",5.6
"305","19981101",4.7
"306","19981102",4.6
"307","19981103",5.1
"308","19981104",6.3
"309","19981105",4
"310","19981106",2.6
"311","19981107",0.6
"312","19981108",1.4
"313","19981109",6.6
"314","19981110",5.1
"315","19981111",4.4
"316","19981112",-1.3
"317","19981113",1.7
"318","19981114",-0.6
"319","19981115",2.5
"320","19981116",1.6
"321","19981117",0.8
"322","19981118",-5.6
"323","19981119",-3.6
"324","19981120",-2.3
"325","19981121",-4.2
"326","19981122",-7.9
"327","19981123",-2.5
"328","19981124",-0.2
"329","19981125",0.2
"330","19981126",-2.2
"331","19981127",-0.2
"332","19981128",-3.4
"333","19981129",-4.4
"334","19981130",-1.4
"335","19981201",-3.5
"336","19981202",-4
"337","19981203",-1.6
"338","19981204",0.2
"339","19981205",-1
"340","19981206",-3.3
"341","19981207",-2.5
"342","19981208",-2.4
"343","19981209",-6.3
"344","19981210",-2.2
"345","19981211",-2.5
"346","19981212",-0.2
"347","19981213",6.2
"348","19981214",12.1
"349","19981215",9.1
"350","19981216",5.6
"351","19981217",1.3
"352","19981218",0.3
"353","19981219",1.4
"354","19981220",-1.3
"355","19981221",0
"356","19981222",-1
"357","19981223",-5.6
"358","19981224",-6
"359","19981225",-5.7
"360","19981226",-2.7
"361","19981227",-2.6
"362","19981228",-1.1
"363","19981229",-1.5
"364","19981230",0
"365","19981231",-0.9
"366","19990101",1.1
"367","19990102",1.2
"368","19990103",1.2
"369","19990104",6
"370","19990105",1.4
"371","19990106",1.1
"372","19990107",-0.1
"373","19990108",0.2
"374","19990109",2.1
"375","19990110",-1.8
"376","19990111",0.4
"377","19990112",-1.6
"378","19990113",-1.6
"379","19990114",-5.2
"380","19990115",-5.7
