"","time","temp"
"1","19980101",6.5
"2","19980102",4.9
"3","19980103",3.4
"4","19980104",3.4
"5","19980105",3.5
"6","19980106",3.4
"7","19980107",1.8
"8","19980108",0.7
"9","19980109",-0.7
"10","19980110",-0.6
"11","19980111",0.1
"12","19980112",4.7
"13","19980113",10
"14","19980114",5.2
"15","19980115",4
"16","19980116",3
"17","19980117",2.8
"18","19980118",1.4
"19","19980119",1.6
"20","19980120",0.2
"21","19980121",0
"22","19980122",-4.7
"23","19980123",-6.9
"24","19980124",-5.6
"25","19980125",-1.7
"26","19980126",-7.1
"27","19980127",-7.5
"28","19980128",-7.8
"29","19980129",-7.8
"30","19980130",-7.5
"31","19980131",-6.8
"32","19980201",-6.9
"33","19980202",-5.3
"34","19980203",-4.9
"35","19980204",-5.6
"36","19980205",-6.4
"37","19980206",-5.5
"38","19980207",-1.8
"39","19980208",1.2
"40","19980209",-1.4
"41","19980210",-0.4
"42","19980211",0.9
"43","19980212",2.3
"44","19980213",2.5
"45","19980214",3.2
"46","19980215",3.9
"47","19980216",6
"48","19980217",7.2
"49","19980218",3.9
"50","19980219",5
"51","19980220",6.7
"52","19980221",9.6
"53","19980222",7.5
"54","19980223",3.5
"55","19980224",3.4
"56","19980225",4.9
"57","19980226",5.5
"58","19980227",5.7
"59","19980228",6
"60","19980301",7.4
"61","19980302",4.3
"62","19980303",5
"63","19980304",10.9
"64","19980305",8.7
"65","19980306",6.8
"66","19980307",9.5
"67","19980308",6.5
"68","19980309",4.3
"69","19980310",-0.4
"70","19980311",2.7
"71","19980312",3
"72","19980313",4.5
"73","19980314",4.7
"74","19980315",7.2
"75","19980316",8
"76","19980317",9.4
"77","19980318",9
"78","19980319",8.5
"79","19980320",7.3
"80","19980321",7.4
"81","19980322",5.1
"82","19980323",3.3
"83","19980324",2.7
"84","19980325",3.3
"85","19980326",4.9
"86","19980327",7.4
"87","19980328",11
"88","19980329",13.7
"89","19980330",13.4
"90","19980331",13.3
"91","19980401",11.5
"92","19980402",11.6
"93","19980403",13.9
"94","19980404",9.3
"95","19980405",9.5
"96","19980406",10.5
"97","19980407",9.2
"98","19980408",7.8
"99","19980409",7.9
"100","19980410",5.4
"101","19980411",4.6
"102","19980412",5.1
"103","19980413",2.8
"104","19980414",4.5
"105","19980415",6.9
"106","19980416",7.3
"107","19980417",6.5
"108","19980418",4.8
"109","19980419",5.9
"110","19980420",8.8
"111","19980421",12.1
"112","19980422",13.1
"113","19980423",14.3
"114","19980424",13.8
"115","19980425",14.3
"116","19980426",15.7
"117","19980427",10.6
"118","19980428",7.4
"119","19980429",11.4
"120","19980430",12.7
"121","19980501",12.3
"122","19980502",11.2
"123","19980503",13.4
"124","19980504",12.2
"125","19980505",12.8
"126","19980506",11.8
"127","19980507",13.9
"128","19980508",16
"129","19980509",16.9
"130","19980510",18.4
"131","19980511",19.8
"132","19980512",18.9
"133","19980513",19.3
"134","19980514",17.8
"135","19980515",18.8
"136","19980516",16.3
"137","19980517",14.3
"138","19980518",13.7
"139","19980519",15.2
"140","19980520",15.4
"141","19980521",15.3
"142","19980522",16.2
"143","19980523",15.3
"144","19980524",13.5
"145","19980525",14.7
"146","19980526",15.9
"147","19980527",15.4
"148","19980528",13.3
"149","19980529",13.4
"150","19980530",16.9
"151","19980531",15.2
"152","19980601",17
"153","19980602",19.8
"154","19980603",17.1
"155","19980604",20.2
"156","19980605",23.3
"157","19980606",21.6
"158","19980607",17
"159","19980608",16.5
"160","19980609",17.5
"161","19980610",16
"162","19980611",13.2
"163","19980612",9.9
"164","19980613",12.3
"165","19980614",14.8
"166","19980615",14.9
"167","19980616",14.2
"168","19980617",14.5
"169","19980618",15.5
"170","19980619",18.7
"171","19980620",21.7
"172","19980621",23.4
"173","19980622",23.1
"174","19980623",21.1
"175","19980624",20.3
"176","19980625",20.9
"177","19980626",19.4
"178","19980627",20.2
"179","19980628",20.2
"180","19980629",20.1
"181","19980630",19.9
"182","19980701",20.8
"183","19980702",20.3
"184","19980703",17
"185","19980704",18.7
"186","19980705",18.9
"187","19980706",20.6
"188","19980707",15.3
"189","19980708",15.6
"190","19980709",15.8
"191","19980710",19.9
"192","19980711",20.3
"193","19980712",21.8
"194","19980713",20.4
"195","19980714",18.1
"196","19980715",16
"197","19980716",14.2
"198","19980717",20.1
"199","19980718",21.1
"200","19980719",23.1
"201","19980720",26.4
"202","19980721",25.3
"203","19980722",21.4
"204","19980723",22.7
"205","19980724",22.9
"206","19980725",21.7
"207","19980726",21.7
"208","19980727",18.4
"209","19980728",18.7
"210","19980729",19.8
"211","19980730",21.6
"212","19980731",19.7
"213","19980801",19.3
"214","19980802",17.3
"215","19980803",17.3
"216","19980804",17.5
"217","19980805",20.8
"218","19980806",19.6
"219","19980807",21.3
"220","19980808",23.3
"221","19980809",24.6
"222","19980810",25.3
"223","19980811",25.5
"224","19980812",24.8
"225","19980813",21.3
"226","19980814",21.7
"227","19980815",21.5
"228","19980816",21.9
"229","19980817",21.7
"230","19980818",20
"231","19980819",20.9
"232","19980820",21.4
"233","19980821",17.5
"234","19980822",18.2
"235","19980823",19.7
"236","19980824",14.8
"237","19980825",16.3
"238","19980826",17.6
"239","19980827",16.4
"240","19980828",14.1
"241","19980829",13.5
"242","19980830",13.7
"243","19980831",15.5
"244","19980901",18.2
"245","19980902",21.9
"246","19980903",19.6
"247","19980904",16.3
"248","19980905",16.1
"249","19980906",15.8
"250","19980907",14.4
"251","19980908",17
"252","19980909",19.3
"253","19980910",21.8
"254","19980911",15.2
"255","19980912",11.8
"256","19980913",9.3
"257","19980914",9.7
"258","19980915",12
"259","19980916",13.8
"260","19980917",13.8
"261","19980918",11.9
"262","19980919",12
"263","19980920",11.4
"264","19980921",11.6
"265","19980922",10.5
"266","19980923",11.2
"267","19980924",16.3
"268","19980925",16.6
"269","19980926",17.1
"270","19980927",14.2
"271","19980928",12.5
"272","19980929",14.3
"273","19980930",13.1
"274","19981001",11.5
"275","19981002",10.3
"276","19981003",11
"277","19981004",9.8
"278","19981005",9.7
"279","19981006",12.2
"280","19981007",10.7
"281","19981008",9.5
"282","19981009",10.3
"283","19981010",10.6
"284","19981011",11.2
"285","19981012",11.5
"286","19981013",9.4
"287","19981014",9.8
"288","19981015",11.1
"289","19981016",11.4
"290","19981017",13.6
"291","19981018",11.1
"292","19981019",8.6
"293","19981020",6.2
"294","19981021",5.9
"295","19981022",7.1
"296","19981023",7.2
"297","19981024",9.8
"298","19981025",9
"299","19981026",7.2
"300","19981027",7.9
"301","19981028",8.6
"302","19981029",8.5
"303","19981030",6.9
"304","19981031",7.8
"305","19981101",7.6
"306","19981102",6.8
"307","19981103",6
"308","19981104",6.5
"309","19981105",4.5
"310","19981106",0.7
"311","19981107",0.2
"312","19981108",2
"313","19981109",5
"314","19981110",7.6
"315","19981111",4.6
"316","19981112",1.3
"317","19981113",3.9
"318","19981114",3.4
"319","19981115",4.1
"320","19981116",2.9
"321","19981117",-0.1
"322","19981118",-4
"323","19981119",-4.1
"324","19981120",-2.2
"325","19981121",-6.8
"326","19981122",-7.3
"327","19981123",-6.1
"328","19981124",-2.4
"329","19981125",-1.2
"330","19981126",0.7
"331","19981127",1.2
"332","19981128",-5.3
"333","19981129",-2
"334","19981130",-0.9
"335","19981201",-3.9
"336","19981202",-6
"337","19981203",-6.2
"338","19981204",-5.1
"339","19981205",-0.3
"340","19981206",-0.3
"341","19981207",-2
"342","19981208",-7
"343","19981209",-4.4
"344","19981210",-0.4
"345","19981211",1.2
"346","19981212",0.4
"347","19981213",2.1
"348","19981214",-0.3
"349","19981215",-2.9
"350","19981216",-2.5
"351","19981217",-2.3
"352","19981218",-3.1
"353","19981219",1.2
"354","19981220",-0.1
"355","19981221",0.2
"356","19981222",-7.4
"357","19981223",-8.3
"358","19981224",-3.3
"359","19981225",-3.9
"360","19981226",-1
"361","19981227",2.3
"362","19981228",-0.4
"363","19981229",2.2
"364","19981230",2.9
"365","19981231",6.6
"366","19990101",6.7
"367","19990102",4.1
"368","19990103",3.3
"369","19990104",3
"370","19990105",2.1
"371","19990106",-0.1
"372","19990107",2.3
"373","19990108",6.5
"374","19990109",2.9
"375","19990110",4.1
"376","19990111",2
"377","19990112",-1.2
"378","19990113",-0.5
"379","19990114",-0.4
"380","19990115",-3.3
"381","19990116",1.1
"382","19990117",5.7
"383","19990118",0.4
"384","19990119",-2.3
"385","19990120",-2.5
"386","19990121",-3.5
"387","19990122",-4.4
"388","19990123",-4.1
"389","19990124",-4
"390","19990125",-2.6
"391","19990126",-0.2
"392","19990127",1.9
"393","19990128",2.1
"394","19990129",1.7
"395","19990130",-5
"396","19990131",-8.3
"397","19990201",-8
"398","19990202",-5.2
"399","19990203",-1.9
"400","19990204",1.4
"401","19990205",4.1
"402","19990206",1.8
"403","19990207",1.2
"404","19990208",-2.1
"405","19990209",-2.2
"406","19990210",-4.3
"407","19990211",-6.5
"408","19990212",-12.5
"409","19990213",-13.6
"410","19990214",-10.1
"411","19990215",-5.2
"412","19990216",-4.4
"413","19990217",1.5
"414","19990218",1.4
"415","19990219",4.1
"416","19990220",3.6
"417","19990221",4.2
"418","19990222",2.3
"419","19990223",-0.8
"420","19990224",-2
"421","19990225",1.7
"422","19990226",0.6
"423","19990227",2.4
"424","19990228",3.2
"425","19990301",5.6
"426","19990302",5.9
"427","19990303",6.9
"428","19990304",3.8
"429","19990305",2.3
"430","19990306",1.2
"431","19990307",1.9
"432","19990308",1.3
"433","19990309",5.4
"434","19990310",7.9
"435","19990311",7.5
"436","19990312",9.4
"437","19990313",9.1
"438","19990314",9.5
"439","19990315",9.1
"440","19990316",9.1
"441","19990317",8.2
"442","19990318",4.7
