"","date","all","a014y","a1564y","a6574y","a7584y","a85plusy","mal","fem","inf","ment","cvd","resp","uri","station","f_id","temp"
"1","1998-01-01",7,0,2,1,3,1,4,3,0,2,2,3,0,"Chur",87,8.3
"2","1998-01-02",7,1,3,1,0,2,3,4,1,2,4,0,0,"Chur",165,8.8
"3","1998-01-03",6,4,1,0,1,0,3,3,2,1,0,2,1,"Chur",0,4.9
"4","1998-01-04",8,2,0,1,4,1,4,4,0,2,4,2,0,"Chur",1,4
"5","1998-01-05",10,2,6,0,0,2,6,4,0,2,6,2,0,"Chur",28,4.5
"6","1998-01-06",10,1,8,0,1,0,5,5,1,1,2,4,2,"Chur",6,3.7
"7","1998-01-07",8,0,5,1,2,0,3,5,2,0,3,1,2,"Chur",0,4.2
"8","1998-01-08",9,0,7,1,1,0,8,1,2,1,3,2,1,"Chur",0,3
"9","1998-01-09",8,0,7,1,0,0,4,4,0,1,2,5,0,"Chur",0,2.5
"10","1998-01-10",2,0,1,0,1,0,1,1,0,0,1,1,0,"Chur",0,4.6
"11","1998-01-11",6,3,3,0,0,0,5,1,2,0,1,2,1,"Chur",0,7.3
"12","1998-01-12",10,2,5,0,3,0,4,6,0,5,1,4,0,"Chur",33,9
"13","1998-01-13",12,2,4,3,2,1,8,4,2,3,3,4,0,"Chur",204,9.8
"14","1998-01-14",5,0,2,3,0,0,4,1,0,1,4,0,0,"Chur",29,7
"15","1998-01-15",11,0,8,1,1,1,7,4,2,3,5,1,0,"Chur",2,5
"16","1998-01-16",2,0,2,0,0,0,2,0,0,1,1,0,0,"Chur",1,5.6
"17","1998-01-17",6,0,3,0,0,3,4,2,0,0,1,4,1,"Chur",0,3.2
"18","1998-01-18",1,0,1,0,0,0,0,1,0,1,0,0,0,"Chur",154,3.8
"19","1998-01-19",9,0,2,0,6,1,1,8,0,2,4,0,3,"Chur",50,4.2
"20","1998-01-20",8,0,5,0,1,2,1,7,0,2,3,2,1,"Chur",0,0.8
"21","1998-01-21",2,1,0,0,1,0,2,0,0,0,0,1,1,"Chur",0,0.8
"22","1998-01-22",4,0,3,0,1,0,0,4,0,0,0,3,1,"Chur",0,-1.8
"23","1998-01-23",3,0,2,0,1,0,1,2,0,2,0,1,0,"Chur",0,-4.2
"24","1998-01-24",7,0,1,0,4,2,3,4,0,0,4,0,3,"Chur",0,-4
"25","1998-01-25",8,3,2,2,1,0,7,1,3,1,2,1,1,"Chur",0,-2.2
"26","1998-01-26",7,2,2,0,3,0,3,4,1,1,0,2,3,"Chur",0,-2.3
