"","date","all","a014y","a1564y","a6574y","a7584y","a85plusy","mal","fem","inf","ment","cvd","resp","uri","station","f_id","temp"
"1","1998-01-01",6,0,1,2,2,1,3,3,0,1,3,2,0,"Magadino",NA,2.7
"2","1998-01-02",5,0,2,0,2,1,2,3,1,1,2,1,0,"Magadino",NA,3.8
"3","1998-01-03",6,0,0,2,4,0,3,3,0,0,5,1,0,"Magadino",NA,2.4
"4","1998-01-04",7,1,2,0,2,2,0,7,1,0,3,3,0,"Magadino",NA,2.6
"5","1998-01-05",8,0,2,1,3,2,6,2,1,1,6,0,0,"Magadino",NA,1.8
"6","1998-01-06",4,0,0,2,2,0,3,1,0,0,1,3,0,"Magadino",NA,3.5
"7","1998-01-07",15,1,5,2,4,3,9,6,2,1,5,6,1,"Magadino",NA,1.9
"8","1998-01-08",5,0,0,3,1,1,3,2,1,0,2,2,0,"Magadino",NA,1.2
"9","1998-01-09",4,0,1,1,1,1,1,3,0,0,3,0,1,"Magadino",NA,0.4
"10","1998-01-11",8,0,4,0,4,0,4,4,1,1,2,4,0,"Magadino",NA,0.2
"11","1998-01-12",4,0,1,1,2,0,2,2,0,0,4,0,0,"Magadino",NA,1
"12","1998-01-13",7,0,2,0,3,2,3,4,1,4,2,0,0,"Magadino",NA,1.9
"13","1998-01-14",6,0,4,2,0,0,3,3,0,0,6,0,0,"Magadino",NA,3.3
"14","1998-01-15",5,0,1,1,1,2,3,2,1,2,1,1,0,"Magadino",NA,5.1
"15","1998-01-16",4,0,1,1,1,1,2,2,0,1,1,1,1,"Magadino",NA,5.4
"16","1998-01-17",3,0,0,1,1,1,3,0,0,0,2,1,0,"Magadino",NA,6.9
"17","1998-01-18",5,0,1,1,2,1,3,2,1,0,2,2,0,"Magadino",NA,1.2
"18","1998-01-19",4,0,3,0,1,0,2,2,0,1,2,0,1,"Magadino",NA,1.9
"19","1998-01-20",3,0,1,0,1,1,1,2,1,0,2,0,0,"Magadino",NA,4.5
"20","1998-01-21",8,0,0,3,4,1,4,4,1,1,5,1,0,"Magadino",NA,7.6
"21","1998-01-22",2,0,0,1,1,0,2,0,0,0,1,0,1,"Magadino",NA,3.8
